record_id,stix_id,record_class,name,text,platforms,created,modified,n_chars,n_words,source
C0041,campaign--1169ff24-b35f-4d8d-8cf3-643a2834227f,campaign,FrostyGoop Incident,"[FrostyGoop Incident](https://attack.mitre.org/campaigns/C0041) took place in January 2024 against a municipal district heating company in Ukraine. Following initial access via likely exploitation of external facing services, [FrostyGoop](https://attack.mitre.org/software/S1165) was used to manipulate ENCO control systems via legitimate Modbus commands to impact the delivery of heating services to Ukrainian civilians.(Citation: Dragos FROSTYGOOP 2024)(Citation: Nozomi BUSTLEBERM 2024)",,2024-11-20T23:15:36.728Z,2026-07-31T20:48:13.258Z,489,53,MITRE ATT&CK for ICS (STIX bundle)
C0030,campaign--45a98f02-852f-49b2-94c0-c63207bebbbf,campaign,Triton Safety Instrumented System Attack,[Triton Safety Instrumented System Attack](https://attack.mitre.org/campaigns/C0030) was a campaign employed by [TEMP.Veles](https://attack.mitre.org/groups/G0088) which leveraged the [Triton](https://attack.mitre.org/software/S1009) malware framework against a petrochemical organization.(Citation: Triton-EENews-2017) The malware and techniques used within this campaign targeted specific Triconex [Safety Controller](https://attack.mitre.org/assets/A0010)s within the environment.(Citation: FireEye TRITON 2018) The incident was eventually discovered due to a safety trip that occurred as a result of an issue in the malware.(Citation: FireEye TRITON 2017),,2024-03-25T17:47:37.619Z,2026-07-31T20:48:13.868Z,659,65,MITRE ATT&CK for ICS (STIX bundle)
C0028,campaign--46421788-b6e1-4256-b351-f8beffd1afba,campaign,2015 Ukraine Electric Power Attack,[2015 Ukraine Electric Power Attack](https://attack.mitre.org/campaigns/C0028) was a [Sandworm Team](https://attack.mitre.org/groups/G0034) campaign during which they used [BlackEnergy](https://attack.mitre.org/software/S0089) (specifically BlackEnergy3) and [KillDisk](https://attack.mitre.org/software/S0607) to target and disrupt transmission and distribution substations within the Ukrainian power grid. This campaign was the first major public attack conducted against the Ukrainian power grid by Sandworm Team.,,2023-09-27T13:11:52.340Z,2026-08-04T20:48:44.047Z,516,49,MITRE ATT&CK for ICS (STIX bundle)
C0020,campaign--70cab19e-1745-425e-b3db-c02cd5ff157a,campaign,Maroochy Water Breach,"[Maroochy Water Breach](https://attack.mitre.org/campaigns/C0020) was an incident in 2000 where an adversary leveraged the local government’s wastewater control system and stolen engineering equipment to disrupt and eventually release 800,000 liters of raw sewage into the local community.(Citation: Marshall Abrams July 2008)",,2023-03-10T20:01:08.133Z,2026-07-31T20:48:15.915Z,326,40,MITRE ATT&CK for ICS (STIX bundle)
C0031,campaign--8fda050f-470d-4401-994e-35c1a6c301de,campaign,Unitronics Defacement Campaign,"The [Unitronics Defacement Campaign](https://attack.mitre.org/campaigns/C0031) was a collection of intrusions across multiple sectors by the [CyberAv3ngers](https://attack.mitre.org/groups/G1027), where threat actors engaged in a seemingly opportunistic and global targeting and defacement of Unitronics Vision Series [Programmable Logic Controller (PLC)](https://attack.mitre.org/assets/A0003) with [Human-Machine Interface (HMI)](https://attack.mitre.org/assets/A0002). The sectors that these PLCs can be commonly found in are water and wastewater, energy, food and beverage manufacturing, and healthcare. The most notable feature of this attack was the defacement of the PLCs' HMIs.(Citation: CISA AA23-335A IRGC-Affiliated December 2023)(Citation: Frank Bajak and Marc Levy December 2023)",,2024-03-25T19:58:53.090Z,2026-07-31T20:48:17.564Z,792,87,MITRE ATT&CK for ICS (STIX bundle)
C0063,campaign--a6aba167-5ada-4812-9da1-912c0e73335d,campaign,2025 Poland Wiper Attacks,"[2025 Poland Wiper Attacks](https://attack.mitre.org/campaigns/C0063) is a Russian state-sponsored campaign that conducted destructive cyberattacks against Polish energy infrastructure in December 2025. Targets included more than 30 wind and photovoltaic farms, a combined heat and power (CHP) plant, and a manufacturing sector company. The attacks on the distributed energy resources (DER) disrupted communications between affected facilities and the distribution system operator, but did not impact electricity generation or heat supply. Across the campaign, threat actors deployed two previously undocumented wiper tools, [DynoWiper](https://attack.mitre.org/software/S9038), a Windows-based wiper and [LazyWiper](https://attack.mitre.org/software/S9039), a PowerShell wiper, distributed via malicious Group Policy Objects. At the CHP plant, threat actors had maintained access since at least March 2025, using that foothold to obtain credentials and move laterally before attempting wiper deployment. Some reporting has assessed the activity to be consistent with Russian Federal Security Service (FSB) threat activity group [Dragonfly](https://attack.mitre.org/groups/G0035), also tracked as STATIC TUNDRA, while other reporting attributes the destructive wiper activities to the Russian General Staff Main Intelligence Directorate (GRU) threat activity group ELECTRUM, also tracked as [Sandworm Team](https://attack.mitre.org/groups/G0034).(Citation: CERT Polska)(Citation: Dragos ELECTRUM JAN 2026)(Citation: ESET DynoWiper JAN 2026)(Citation: ESET DynoWiper Update JAN 2026)",,2026-04-22T19:33:22.532Z,2026-07-31T20:48:19.151Z,1582,186,MITRE ATT&CK for ICS (STIX bundle)
C0025,campaign--aa73efef-1418-4dbe-b43c-87a498e97234,campaign,2016 Ukraine Electric Power Attack,[2016 Ukraine Electric Power Attack](https://attack.mitre.org/campaigns/C0025) was a [Sandworm Team](https://attack.mitre.org/groups/G0034) campaign during which they used [Industroyer](https://attack.mitre.org/software/S0604) malware to target and disrupt distribution substations within the Ukrainian power grid. This campaign was the second major public attack conducted against Ukraine by [Sandworm Team](https://attack.mitre.org/groups/G0034).(Citation: ESET Industroyer)(Citation: Dragos Crashoverride 2018),,2023-03-31T17:22:23.567Z,2026-07-31T21:05:24.494Z,513,46,MITRE ATT&CK for ICS (STIX bundle)
C0034,campaign--df8eb785-70f8-4300-b444-277ba849083d,campaign,2022 Ukraine Electric Power Attack,"The [2022 Ukraine Electric Power Attack](https://attack.mitre.org/campaigns/C0034) was a [Sandworm Team](https://attack.mitre.org/groups/G0034) campaign that used a combination of GOGETTER, Neo-REGEORG, [CaddyWiper](https://attack.mitre.org/software/S0693), and living of the land (LotL) techniques to gain access to a Ukrainian electric utility to send unauthorized commands from their SCADA system.(Citation: Mandiant-Sandworm-Ukraine-2022)(Citation: Dragos-Sandworm-Ukraine-2022)",,2024-03-27T19:43:25.703Z,2026-07-31T21:11:04.731Z,482,44,MITRE ATT&CK for ICS (STIX bundle)
M0948,course-of-action--059ba11e-e3dc-49aa-84ca-88197f40d4ea,mitigation,Application Isolation and Sandboxing,Restrict the execution of code to a virtual environment on or in-transit to an endpoint system.,,2019-06-11T17:06:56.230Z,2025-04-16T21:26:25.920Z,95,16,MITRE ATT&CK for ICS (STIX bundle)
M0937,course-of-action--11f242bc-3121-438c-84b2-5cbd46a4bb17,mitigation,Filter Network Traffic,"Use network appliances to filter ingress or egress traffic and perform protocol-based filtering. Configure software on endpoints to filter network traffic.   Perform inline allow/denylisting of network messages based on the application layer (OSI Layer 7) protocol, especially for automation protocols. Application allowlists are beneficial when there are well-defined communication sequences, types, rates, or patterns needed during expected system operations. Application denylists may be needed if all acceptable communication sequences cannot be defined, but instead a set of known malicious uses can be denied (e.g., excessive communication  attempts, shutdown messages, invalid commands).  Devices performing these functions are often referred to as deep-packet inspection (DPI) firewalls, context-aware firewalls, or firewalls blocking specific automation/SCADA protocol aware firewalls. (Citation: Centre for the Protection of National Infrastructure February 2005)",,2019-06-11T16:33:55.337Z,2026-05-12T15:12:00.730Z,973,124,MITRE ATT&CK for ICS (STIX bundle)
M0921,course-of-action--143b4398-3222-480a-b6a4-e131bc2d3144,mitigation,Restrict Web-Based Content,"Restrict use of certain websites, block downloads/attachments, block Javascript, restrict browser extensions, etc.",,2019-06-06T20:52:59.206Z,2025-04-16T21:26:26.226Z,114,13,MITRE ATT&CK for ICS (STIX bundle)
M0818,course-of-action--1cbcceef-3233-4062-aa86-ec91afe39517,mitigation,Validate Program Inputs,"Devices and programs designed to interact with control system parameters should validate the format and content of all user inputs and actions to ensure the values are within intended operational ranges. These values should be evaluated and further enforced through the program logic running on the field controller. If a problematic or invalid input is identified, the programs should either utilize a predetermined safe value or enter a known safe state, while also logging or alerting on the event.(Citation: PLCTop20 Mar 2023)",,2023-03-22T15:49:55.439Z,2025-04-16T21:26:26.390Z,530,82,MITRE ATT&CK for ICS (STIX bundle)
M0930,course-of-action--1e7ccfc0-94c8-496e-8d27-032120892291,mitigation,Network Segmentation,"Architect sections of the network to isolate critical systems, functions, or resources. Use physical and logical segmentation to prevent access to potentially sensitive systems and information. Use a DMZ to contain any internet-facing services that should not be exposed from the internal network.  Restrict network access to only required systems and services. In addition, prevent systems from other networks or business functions (e.g., enterprise) from accessing critical process control systems. For example, in IEC 62443, systems within the same secure level should be grouped into a zone, and access to that zone is restricted by a conduit, or mechanism to restrict data flows between zones by segmenting the network. (Citation: IEC February 2019) (Citation: IEC August 2013)",,2019-06-10T20:41:03.271Z,2026-05-12T15:12:00.730Z,782,117,MITRE ATT&CK for ICS (STIX bundle)
M0944,course-of-action--2ab9fc6d-3cf6-4d7b-85f1-3ad6949233b3,mitigation,Restrict Library Loading,Prevent abuse of library loading mechanisms in the operating system and software to load untrusted code by configuring appropriate library loading mechanisms and investigating potential vulnerable software.,,2019-06-11T17:00:01.740Z,2025-04-16T21:26:26.729Z,206,27,MITRE ATT&CK for ICS (STIX bundle)
M0915,course-of-action--2f0160b7-e982-49d7-9612-f19b810f1722,mitigation,Active Directory Configuration,"Configure Active Directory to prevent use of certain techniques; use security identifier (SID) Filtering, etc.",,2019-06-06T16:39:58.291Z,2025-04-25T14:39:12.577Z,110,15,MITRE ATT&CK for ICS (STIX bundle)
M0931,course-of-action--3172222b-4983-43f7-8983-753ded4f13bc,mitigation,Network Intrusion Prevention,"Use intrusion detection signatures to block traffic at network boundaries.  In industrial control environments, network intrusion prevention should be configured so it will not disrupt protocols and communications responsible for real-time functions related to control or safety.",,2019-06-10T20:46:02.263Z,2026-05-12T15:12:00.730Z,279,37,MITRE ATT&CK for ICS (STIX bundle)
M0924,course-of-action--3222a807-521b-4a1a-aa13-f1cda45734b3,mitigation,Restrict Registry Permissions,Restrict the ability to modify certain hives or keys in the Windows Registry.,,2019-06-06T20:58:59.577Z,2025-04-16T21:26:27.274Z,77,13,MITRE ATT&CK for ICS (STIX bundle)
M0803,course-of-action--337c4e2a-21a7-4d9a-bfee-9efd6cebf0e5,mitigation,Data Loss Prevention,"Data Loss Prevention (DLP) technologies can be used to help identify adversarial attempts to exfiltrate operational information, such as engineering plans, trade secrets, recipes, intellectual property, or process telemetry. DLP functionality may be built into other security products such as firewalls or standalone suites running on the network and host-based agents. DLP may be configured to prevent the transfer of information through corporate resources such as email, web, and physical media such as USB for host-based solutions.",,2020-09-11T16:32:21.854Z,2025-04-25T14:39:13.297Z,535,77,MITRE ATT&CK for ICS (STIX bundle)
M0801,course-of-action--3992ce42-43e9-4bea-b8db-a102ec3ec1e3,mitigation,Access Management,"Access Management technologies can be used to enforce authorization polices and decisions, especially when existing field devices do not provide sufficient capabilities to support user identification and authentication. (Citation: McCarthy, J et al. July 2018) These technologies typically utilize an in-line network device or gateway system to prevent access to unauthenticated users, while also integrating with an authentication service to first verify user credentials. (Citation: Centre for the Protection of National Infrastructure November 2010)",,2020-09-11T16:32:21.854Z,2026-05-12T15:12:00.730Z,552,74,MITRE ATT&CK for ICS (STIX bundle)
M0816,course-of-action--469b78dd-a54d-4f7c-8c3b-4a1dd916b433,mitigation,Mitigation Limited or Not Effective,This type of attack technique cannot be easily mitigated with preventative controls since it is based on the abuse of system features.,,2020-09-11T16:32:21.854Z,2026-05-12T15:12:00.730Z,134,22,MITRE ATT&CK for ICS (STIX bundle)
M0950,course-of-action--49363b74-d506-4342-bd63-320586ebadb9,mitigation,Exploit Protection,Use capabilities to detect and block conditions that may lead to or be indicative of a software exploit occurring.,,2019-06-11T17:10:57.070Z,2025-04-16T21:26:27.827Z,114,19,MITRE ATT&CK for ICS (STIX bundle)
M0935,course-of-action--49b306c1-a046-42c5-a4d2-30f264ada110,mitigation,Limit Access to Resource Over Network,"Prevent access to file shares, remote access to systems, unnecessary services. Mechanisms to limit access may include use of network concentrators, RDP gateways, etc.",,2019-06-11T16:30:16.672Z,2025-04-16T21:26:27.991Z,166,24,MITRE ATT&CK for ICS (STIX bundle)
M0938,course-of-action--4fa717d9-cabe-47c8-8cdd-86e9e2e37f30,mitigation,Execution Prevention,"Block execution of code on a system through application control, and/or script blocking.",,2019-06-11T16:35:25.488Z,2025-04-16T21:26:28.155Z,88,13,MITRE ATT&CK for ICS (STIX bundle)
M0814,course-of-action--52c7a1a9-3a78-4528-a44f-cd7b0fa3541a,mitigation,Static Network Configuration,"Configure hosts and devices to use static network configurations when possible, protocols that require dynamic discovery/addressing (e.g., ARP, DHCP, DNS) can be used to manipulate network message forwarding and enable various AiTM attacks. This mitigation may not always be usable due to limited device features or challenges introduced with different network configurations.",,2019-06-06T21:16:18.709Z,2026-05-12T15:12:00.730Z,376,52,MITRE ATT&CK for ICS (STIX bundle)
M0927,course-of-action--5d97c693-e054-48ba-a3a3-eaf6942dfb65,mitigation,Password Policies,Set and enforce secure password policies for accounts.,,2019-06-06T21:10:35.792Z,2026-05-12T15:12:00.730Z,54,8,MITRE ATT&CK for ICS (STIX bundle)
M0926,course-of-action--622fe4d4-0e8e-4d17-9c25-6c9cef1f15d5,mitigation,Privileged Account Management,"Manage the creation, modification, use, and permissions associated to privileged accounts, including SYSTEM and root.",,2019-06-06T21:09:47.115Z,2025-04-16T21:26:28.652Z,117,15,MITRE ATT&CK for ICS (STIX bundle)
