asset_id,asset_type,site,site_zone,device_zone,criticality,primary_protocol,ip_address,owner_team,patch_status,remote_access_enabled
AST-0001,plc,PIT-A,OT,OT,critical,modbus,192.168.10.245,OT Engineering,behind_2_cycles,True
AST-0002,plc,PIT-A,OT,OT,critical,modbus,192.168.10.232,OT Engineering,current,True
AST-0003,rtu,PIT-A,OT,OT,critical,dnp3,192.168.10.104,OT Engineering,current,False
AST-0004,hmi,PIT-A,OT,OT,critical,http,192.168.10.218,OT Engineering,current,True
AST-0005,hmi,PIT-A,OT,OT,critical,http,192.168.10.242,OT Engineering,behind_2_cycles,True
AST-0006,hmi,PIT-A,OT,OT,critical,http,192.168.10.237,OT Engineering,behind_2_cycles,False
AST-0007,historian,PIT-A,OT,OT,high,sql,192.168.10.232,OT Engineering,behind_1_cycle,False
AST-0008,historian,PIT-A,OT,OT,high,sql,192.168.10.197,OT Engineering,current,True
AST-0009,historian,PIT-A,OT,OT,high,sql,192.168.10.206,OT Engineering,behind_1_cycle,False
AST-0010,iiot_gateway,PIT-A,OT,OT,high,mqtt,192.168.10.28,OT Engineering,current,True
AST-0011,iiot_gateway,PIT-A,OT,OT,high,mqtt,192.168.10.172,OT Engineering,behind_1_cycle,True
AST-0012,iiot_gateway,PIT-A,OT,OT,high,mqtt,192.168.10.19,OT Engineering,current,False
AST-0013,sensor_weather,PIT-A,OT,OT,medium,mqtt,192.168.10.200,OT Engineering,current,True
AST-0014,sensor_modbus,PIT-A,OT,OT,critical,modbus,192.168.10.28,OT Engineering,behind_2_cycles,True
AST-0015,sensor_modbus,PIT-A,OT,OT,critical,modbus,192.168.10.165,OT Engineering,behind_2_cycles,True
AST-0016,sensor_thermostat,PIT-A,OT,OT,medium,mqtt,192.168.10.4,OT Engineering,current,False
AST-0017,sensor_thermostat,PIT-A,OT,OT,medium,mqtt,192.168.10.11,OT Engineering,behind_1_cycle,True
AST-0018,sensor_motion,PIT-A,OT,OT,low,mqtt,192.168.10.10,OT Engineering,current,False
AST-0019,gps_tracker,PIT-A,OT,OT,medium,mqtt,192.168.10.120,OT Engineering,current,False
AST-0020,gps_tracker,PIT-A,OT,OT,medium,mqtt,192.168.10.42,OT Engineering,behind_1_cycle,True
AST-0021,gps_tracker,PIT-A,OT,OT,medium,mqtt,192.168.10.81,OT Engineering,behind_2_cycles,False
AST-0022,garage_door_ctrl,PIT-A,OT,IT-OT,low,http,192.168.10.96,IT Operations,behind_1_cycle,True
AST-0023,fridge_unit,PIT-A,OT,IT-OT,low,mqtt,192.168.10.16,IT Operations,behind_2_cycles,True
AST-0024,fridge_unit,PIT-A,OT,IT-OT,low,mqtt,192.168.10.132,IT Operations,behind_1_cycle,True
AST-0025,haul_truck_edge,PIT-A,OT,OT,high,mqtt,192.168.10.86,OT Engineering,behind_1_cycle,True
AST-0026,haul_truck_edge,PIT-A,OT,OT,high,mqtt,192.168.10.13,OT Engineering,current,True
AST-0027,vpn_gateway,PIT-A,OT,IT-OT,critical,ipsec,192.168.10.33,IT Operations,current,True
AST-0028,vpn_gateway,PIT-A,OT,IT-OT,critical,ipsec,192.168.10.90,IT Operations,current,True
AST-0029,jump_host,PIT-A,OT,IT-OT,critical,rdp,192.168.10.73,IT Operations,behind_1_cycle,True
AST-0030,laptop,PIT-A,OT,IT,medium,n/a,192.168.10.191,IT Operations,behind_1_cycle,False
AST-0031,plc,PIT-B,OT,OT,critical,modbus,192.168.11.172,OT Engineering,behind_2_cycles,True
AST-0032,plc,PIT-B,OT,OT,critical,modbus,192.168.11.142,OT Engineering,current,True
AST-0033,rtu,PIT-B,OT,OT,critical,dnp3,192.168.11.118,OT Engineering,behind_1_cycle,False
AST-0034,hmi,PIT-B,OT,OT,critical,http,192.168.11.61,OT Engineering,behind_1_cycle,True
