username,user_role,employment_type,home_site,privileged_account,account_created,mfa_enrolled
cont001,control_room_operator,employee,PLANT-01,True,2016-02-27,True
cont002,control_room_operator,employee,PIT-A,False,2017-10-09,False
cont003,control_room_operator,employee,TAILINGS-01,False,2017-04-03,True
cont004,control_room_operator,employee,TAILINGS-01,False,2015-06-01,True
cont005,control_room_operator,employee,TAILINGS-01,False,2014-10-29,True
cont006,control_room_operator,employee,PIT-A,False,2015-02-13,True
cont007,control_room_operator,employee,PIT-B,True,2014-11-02,True
cont008,control_room_operator,employee,TAILINGS-01,False,2015-12-08,True
cont009,control_room_operator,employee,PIT-A,False,2017-03-03,True
cont010,control_room_operator,employee,TAILINGS-01,False,2015-10-01,True
cont011,control_room_operator,employee,PLANT-01,False,2017-03-20,True
cont012,control_room_operator,employee,TAILINGS-01,False,2017-10-27,False
cont013,control_room_operator,employee,PIT-B,False,2016-01-28,True
cont014,control_room_operator,employee,TAILINGS-01,False,2015-08-29,True
cont015,control_room_operator,employee,PIT-B,True,2018-12-18,False
cont016,control_room_operator,employee,PLANT-01,False,2016-08-06,True
cont017,control_room_operator,employee,TAILINGS-01,False,2015-12-12,False
cont018,control_room_operator,employee,PIT-A,False,2018-01-29,True
cont019,control_room_operator,employee,PIT-A,False,2014-10-14,False
cont020,control_room_operator,employee,PLANT-01,False,2017-10-14,True
cont021,control_room_operator,employee,PIT-B,False,2018-11-18,True
cont022,control_room_operator,employee,PLANT-01,False,2017-04-19,True
cont023,control_room_operator,employee,PIT-A,True,2014-07-18,True
cont024,control_room_operator,employee,PLANT-01,False,2015-03-04,True
cont025,control_room_operator,employee,PLANT-01,False,2016-07-22,True
cont026,control_room_operator,employee,PIT-A,False,2015-01-10,True
main027,maintenance_engineer,employee,WORKSHOP-01,False,2015-01-27,True
main028,maintenance_engineer,employee,TAILINGS-01,False,2017-02-16,True
main029,maintenance_engineer,employee,TAILINGS-01,True,2018-07-13,True
main030,maintenance_engineer,employee,WORKSHOP-01,True,2018-02-10,False
main031,maintenance_engineer,employee,PIT-B,False,2016-09-01,True
