event_id,timestamp,username,user_role,employment_type,site,asset_id,src_ip,src_country,auth_method,mfa_used,event_type,result,target_system,privileged_action,session_duration_s,bytes_out,gt_scenario
ACC000001,2019-04-01 00:38:39,cont006,control_room_operator,employee,PIT-A,AST-0030,10.52.62.121,NAM,ot_jump_host,True,LOGIN_SUCCESS,success,erp,False,1945,0,
ACC000002,2019-04-01 00:42:15,main049,maintenance_engineer,employee,PIT-B,AST-0052,10.21.53.77,NAM,rdp_broker,True,LOGIN_SUCCESS,success,historian,False,3512,0,
ACC000003,2019-04-01 00:51:00,main049,maintenance_engineer,employee,PIT-B,AST-0055,10.21.53.77,NAM,rdp_broker,True,RESOURCE_ACCESS,success,historian,False,0,2234374,
ACC000004,2019-04-01 00:52:42,cont006,control_room_operator,employee,PIT-A,AST-0022,10.52.62.14,NAM,ot_jump_host,True,RESOURCE_ACCESS,success,cctv_nvr,False,0,5584733,
ACC000005,2019-04-01 01:00:26,main027,maintenance_engineer,employee,WORKSHOP-01,AST-0152,10.41.64.172,NAM,vpn_gateway,True,LOGIN_SUCCESS,success,plc_engineering_ws,False,3882,0,
ACC000006,2019-04-01 01:04:36,main049,maintenance_engineer,employee,PIT-B,AST-0053,10.21.53.77,NAM,rdp_broker,True,RESOURCE_ACCESS,success,historian,False,0,968318,
ACC000007,2019-04-01 01:11:04,cont006,control_room_operator,employee,PIT-A,AST-0027,10.52.62.105,NAM,ot_jump_host,True,LOGOUT,success,cctv_nvr,False,1945,0,
ACC000008,2019-04-01 01:22:27,main027,maintenance_engineer,employee,WORKSHOP-01,AST-0152,10.41.64.6,NAM,vpn_gateway,True,RESOURCE_ACCESS,success,scada_hmi,False,0,3245360,
ACC000009,2019-04-01 01:37:34,cont010,control_room_operator,employee,TAILINGS-01,AST-0119,10.46.73.118,NAM,ssh_bastion,True,LOGIN_SUCCESS,success,plc_engineering_ws,False,1390,0,
ACC000010,2019-04-01 01:40:47,main049,maintenance_engineer,employee,PIT-B,AST-0055,10.21.53.77,NAM,rdp_broker,True,LOGOUT,success,fleet_mgmt,False,3512,0,
ACC000011,2019-04-01 01:52:57,cont026,control_room_operator,employee,PIT-A,AST-0020,10.23.71.192,NAM,vpn_gateway,True,LOGIN_SUCCESS,success,cctv_nvr,False,3138,0,
ACC000012,2019-04-01 01:58:02,cont001,control_room_operator,employee,PLANT-01,AST-0065,10.51.56.159,NAM,vpn_gateway,True,LOGIN_SUCCESS,success,scada_hmi,False,2307,0,
ACC000013,2019-04-01 01:59:57,cont010,control_room_operator,employee,TAILINGS-01,AST-0108,10.46.73.57,NAM,ssh_bastion,True,RESOURCE_ACCESS,success,scada_hmi,False,0,770481,
ACC000014,2019-04-01 02:00:44,cont010,control_room_operator,employee,TAILINGS-01,AST-0096,10.46.73.57,NAM,ssh_bastion,True,LOGOUT,success,plc_engineering_ws,False,1390,0,
ACC000015,2019-04-01 02:03:08,cont001,control_room_operator,employee,PLANT-01,AST-0091,10.51.56.141,NAM,vpn_gateway,True,RESOURCE_ACCESS,success,scada_hmi,True,0,651827,
ACC000016,2019-04-01 02:05:08,main027,maintenance_engineer,employee,WORKSHOP-01,AST-0124,10.41.64.172,NAM,vpn_gateway,True,LOGOUT,success,cctv_nvr,False,3882,0,
ACC000017,2019-04-01 02:08:24,cont026,control_room_operator,employee,PIT-A,AST-0012,10.23.71.72,NAM,vpn_gateway,True,RESOURCE_ACCESS,success,cctv_nvr,False,0,295612,
ACC000018,2019-04-01 02:10:06,cont026,control_room_operator,employee,PIT-A,AST-0027,10.23.71.72,NAM,vpn_gateway,True,RESOURCE_ACCESS,success,cctv_nvr,False,0,462001,
ACC000019,2019-04-01 02:18:14,cont004,control_room_operator,employee,TAILINGS-01,AST-0122,10.38.55.77,NAM,vpn_gateway,True,LOGIN_SUCCESS,success,telemetry_broker,False,2439,0,
ACC000020,2019-04-01 02:20:03,cont004,control_room_operator,employee,TAILINGS-01,AST-0105,10.38.55.77,NAM,vpn_gateway,True,RESOURCE_ACCESS,success,erp,False,0,4017646,
ACC000021,2019-04-01 02:20:47,mine101,mine_planner,employee,HQ-WHK,AST-0169,10.21.117.214,NAM,ot_jump_host,True,LOGIN_SUCCESS,success,historian,False,921,0,
ACC000022,2019-04-01 02:21:26,mine101,mine_planner,employee,HQ-WHK,AST-0171,10.21.117.51,NAM,ot_jump_host,True,RESOURCE_ACCESS,success,erp,False,0,1210304,
ACC000023,2019-04-01 02:21:48,mine101,mine_planner,employee,HQ-WHK,AST-0168,10.21.117.169,NAM,ot_jump_host,True,RESOURCE_ACCESS,success,historian,False,0,169116,
ACC000024,2019-04-01 02:22:11,cont001,control_room_operator,employee,PLANT-01,AST-0081,10.51.56.141,NAM,vpn_gateway,True,RESOURCE_ACCESS,success,erp,False,0,5833737,
ACC000025,2019-04-01 02:24:31,cont001,control_room_operator,employee,PLANT-01,AST-0065,10.51.56.77,NAM,vpn_gateway,True,RESOURCE_ACCESS,success,scada_hmi,False,0,4686859,
ACC000026,2019-04-01 02:27:19,cont019,control_room_operator,employee,PIT-A,AST-0026,10.49.227.210,NAM,rdp_broker,False,LOGIN_SUCCESS,success,scada_hmi,False,3116,0,
ACC000027,2019-04-01 02:29:37,cont019,control_room_operator,employee,PIT-A,AST-0016,10.49.227.210,NAM,rdp_broker,False,RESOURCE_ACCESS,success,telemetry_broker,False,0,1637746,
ACC000028,2019-04-01 02:30:28,cont019,control_room_operator,employee,PIT-A,AST-0030,10.49.227.210,NAM,rdp_broker,False,RESOURCE_ACCESS,success,telemetry_broker,False,0,297973,
ACC000029,2019-04-01 02:33:36,supe108,supervisor,employee,PIT-A,AST-0010,10.49.102.148,NAM,rdp_broker,False,LOGIN_SUCCESS,success,fleet_mgmt,False,2347,0,
ACC000030,2019-04-01 02:33:51,cont002,control_room_operator,employee,PIT-A,AST-0017,10.35.131.229,NAM,vpn_gateway,False,LOGIN_FAILURE,failure,erp,False,0,0,
ACC000031,2019-04-01 02:36:08,mine101,mine_planner,employee,HQ-WHK,AST-0169,10.21.117.214,NAM,ot_jump_host,True,LOGOUT,success,erp,False,921,0,
ACC000032,2019-04-01 02:36:29,cont001,control_room_operator,employee,PLANT-01,AST-0065,10.51.56.77,NAM,vpn_gateway,True,LOGOUT,success,erp,False,2307,0,
ACC000033,2019-04-01 02:36:35,cont002,control_room_operator,employee,PIT-A,AST-0001,10.35.131.14,NAM,vpn_gateway,False,LOGIN_SUCCESS,success,scada_hmi,False,0,0,
ACC000034,2019-04-01 02:41:09,main049,maintenance_engineer,employee,PIT-B,AST-0053,10.21.53.77,NAM,rdp_broker,True,LOGIN_FAILURE,failure,fleet_mgmt,False,0,0,
ACC000035,2019-04-01 02:45:15,cont026,control_room_operator,employee,PIT-A,AST-0009,10.23.71.192,NAM,vpn_gateway,True,LOGOUT,success,file_share,False,3138,0,
ACC000036,2019-04-01 02:58:53,cont004,control_room_operator,employee,TAILINGS-01,AST-0102,10.38.55.61,NAM,vpn_gateway,True,LOGOUT,success,telemetry_broker,False,2439,0,
