2026-09-19 19:31:46,926 | INFO    | run_all | === s01  extract ATT&CK ICS text corpus
2026-09-19 19:31:47,737 | INFO    | s01_attack_text | wrote 357 rows to /home/claude/capstone/data/raw/attack_ics_text.csv
2026-09-19 19:31:47,737 | INFO    | s01_attack_text | class counts: {'technique': 97, 'analytic': 97, 'mitigation': 52, 'data_component': 36, 'malware': 23, 'asset': 18, 'threat_group': 14, 'tactic': 12, 'campaign': 8}
2026-09-19 19:31:47,738 | INFO    | run_all | --- s01 finished in 0.8s
2026-09-19 19:31:47,739 | INFO    | run_all | === s02  generate asset/user context + access log
2026-09-19 19:31:48,545 | INFO    | s02_synth_access | assets=194 users=114 access_events=22686
2026-09-19 19:31:48,546 | INFO    | s02_synth_access | ground truth rows: {'GT1_password_spray': 78, 'GT2_vendor_out_of_hours': 20, 'GT3_dormant_account': 7, 'GT4_impossible_travel': 3}
2026-09-19 19:31:48,546 | INFO    | run_all | --- s02 finished in 0.8s
2026-09-19 19:31:48,546 | INFO    | run_all | === s03  generate maintenance/incident tickets
2026-09-19 19:31:48,911 | INFO    | s03_tickets | tickets=320 categories={'mechanical': 71, 'security_incident': 65, 'instrumentation': 65, 'network_fault': 62, 'access_request': 57}
2026-09-19 19:31:48,911 | INFO    | run_all | --- s03 finished in 0.4s
2026-09-19 19:31:48,911 | INFO    | run_all | === s04  data inventory, dictionary, quality profile
2026-09-19 19:31:49,013 | INFO    | s04_inventory | iot_fridge       rows=59944    cols=7   dup=8901   labelled=True
2026-09-19 19:31:49,089 | INFO    | s04_inventory | iot_garage_door  rows=59587    cols=7   dup=38836  labelled=True
2026-09-19 19:31:49,229 | INFO    | s04_inventory | iot_gps_tracker  rows=58960    cols=7   dup=0      labelled=True
2026-09-19 19:31:49,325 | INFO    | s04_inventory | iot_modbus       rows=51106    cols=9   dup=19744  labelled=True
2026-09-19 19:31:49,400 | INFO    | s04_inventory | iot_motion_light rows=59488    cols=7   dup=28629  labelled=True
2026-09-19 19:31:49,498 | INFO    | s04_inventory | iot_thermostat   rows=52774    cols=7   dup=1154   labelled=True
2026-09-19 19:31:49,673 | INFO    | s04_inventory | iot_weather      rows=59260    cols=8   dup=0      labelled=True
2026-09-19 19:31:51,172 | INFO    | s04_inventory | network_flow     rows=211043   cols=44  dup=20569  labelled=True
2026-09-19 19:31:51,302 | INFO    | s04_inventory | access_log       rows=22686    cols=18  dup=0      labelled=False
2026-09-19 19:31:51,311 | INFO    | s04_inventory | asset_inventory  rows=194      cols=11  dup=0      labelled=False
2026-09-19 19:31:51,317 | INFO    | s04_inventory | user_directory   rows=114      cols=7   dup=0      labelled=False
2026-09-19 19:31:51,327 | INFO    | s04_inventory | tickets          rows=320      cols=10  dup=0      labelled=True
2026-09-19 19:31:51,341 | INFO    | s04_inventory | attack_ics_text  rows=357      cols=11  dup=0      labelled=False
2026-09-19 19:31:51,347 | INFO    | s04_inventory | TOTAL records across all sources: 635,833
2026-09-19 19:31:51,347 | INFO    | s04_inventory | unstructured text records: 677
2026-09-19 19:31:51,347 | INFO    | run_all | --- s04 finished in 2.4s
2026-09-19 19:31:51,347 | INFO    | run_all | === s05  requirements matrix and minimum-data check
2026-09-19 19:31:51,354 | INFO    | s05_requirements | MET    At least three distinct security data sources
2026-09-19 19:31:51,355 | INFO    | s05_requirements | MET    At least 5,000 combined event/transaction records
