test,setting,f1,recall_on_attacks,f1_change_vs_baseline
T0_baseline,unmodified held-out flows,0.9986683566237226,0.9987805269407272,0.0
T1_drift_noise,"multiplicative Gaussian noise, sigma=0.05",0.9982829174356094,0.9981707904110908,-0.0003854391881131791
T1_drift_noise,"multiplicative Gaussian noise, sigma=0.15",0.9953194626999647,0.9963415808221816,-0.003348893923757812
T1_drift_noise,"multiplicative Gaussian noise, sigma=0.3",0.9876563026693848,0.9872918070665254,-0.011012053954337797
T2_evasion,"attack flows padded x1.5 and slowed x2.0, conn_state=sf",0.9985558871666507,0.9985558871666507,-0.00011246945707188427
T2_evasion,"attack flows padded x3.0 and slowed x5.0, conn_state=sf",0.9982022471910112,0.9978498764481243,-0.00046610943271130356
T2_evasion,"attack flows padded x6.0 and slowed x10.0, conn_state=sf",0.997655221147978,0.996758768974038,-0.0010131354757445532
T3_missing_data,10% of feature values lost,0.9905957124191441,0.9853663232887263,-0.008072644204578427
T3_missing_data,25% of feature values lost,0.9499110601300018,0.9168511921953724,-0.048757296493720736
T3_missing_data,50% of feature values lost,0.7728277798073411,0.6449407913738326,-0.22584057681638148
T4_label_poisoning,5% of training labels flipped,0.997851324482073,0.998523795770354,-0.0008170321416495208
T4_label_poisoning,15% of training labels flipped,0.9944254341574694,0.9932287153814062,-0.0042429224662531295
T4_label_poisoning,30% of training labels flipped,0.9581519149565417,0.9357209332178043,-0.040516441667180825
