username,role,employment_type,day,events,failures,priv_actions,distinct_ips,distinct_countries,out_of_hours,foreign,bytes_out,iso_score,lof_score,why_flagged,gt
cont006,control_room_operator,employee,2019-04-24,13,2,0,4,2,13,3,55140251,0.7631064847575848,1.1239887357484466,external +10.7 SD vs role mean; foreign +10.7 SD vs role mean; distinct_countries +9.2 SD vs role mean,GT1_password_spray
vend069,vendor_technician,vendor,2019-04-25,18,1,4,2,2,8,5,56598662,0.7558089752105122,1.609342110006855,distinct_countries +6.5 SD vs role mean; foreign +6.4 SD vs role mean; external +6.4 SD vs role mean,GT2_vendor_out_of_hours
supe112,supervisor,employee,2019-04-24,15,4,3,3,2,5,3,18928693,0.7481662227724241,1.0973031384413714,distinct_countries +11.6 SD vs role mean; foreign +11.3 SD vs role mean; external +11.3 SD vs role mean,GT1_password_spray
main042,maintenance_engineer,employee,2019-04-24,13,2,0,3,2,9,3,50310783,0.743549880112492,1.0373230495852095,external +11.6 SD vs role mean; foreign +11.6 SD vs role mean; distinct_countries +7.5 SD vs role mean,GT1_password_spray
cont015,control_room_operator,employee,2019-04-24,12,3,1,3,2,8,3,6442021,0.7426909617149431,0.996089446883902,external +10.7 SD vs role mean; foreign +10.7 SD vs role mean; distinct_countries +9.2 SD vs role mean,GT1_password_spray
cont080,contractor_surveyor,contractor,2019-04-24,11,3,0,4,2,7,3,11414219,0.7376912452274376,0.9929228296020964,distinct_countries +6.4 SD vs role mean; failures +5.8 SD vs role mean; foreign +5.4 SD vs role mean,GT1_password_spray
cont021,control_room_operator,employee,2019-04-24,22,3,0,2,2,9,3,23075958,0.7352098349169295,1.0357201471100992,external +10.7 SD vs role mean; foreign +10.7 SD vs role mean; distinct_countries +9.2 SD vs role mean,GT1_password_spray
main049,maintenance_engineer,employee,2019-04-24,9,3,2,2,2,3,3,6697652,0.7304600399513802,0.9910450667976834,external +11.6 SD vs role mean; foreign +11.6 SD vs role mean; distinct_countries +7.5 SD vs role mean,GT1_password_spray
vend071,vendor_technician,vendor,2019-04-24,6,3,0,3,2,5,3,5841709,0.7300998603028745,1.0026761493436591,distinct_countries +6.5 SD vs role mean; failures +5.4 SD vs role mean; foreign +3.8 SD vs role mean,GT1_password_spray
cont081,contractor_surveyor,contractor,2019-04-24,3,3,0,1,1,3,3,0,0.7299352084218983,1.8353544908818984,failures +5.8 SD vs role mean; failure_ratio +5.7 SD vs role mean; foreign +5.4 SD vs role mean,GT1_password_spray
cont026,control_room_operator,employee,2019-04-24,8,3,0,3,2,6,3,2864978,0.7252630670769638,0.9908521324936376,external +10.7 SD vs role mean; foreign +10.7 SD vs role mean; distinct_countries +9.2 SD vs role mean,GT1_password_spray
cont081,contractor_surveyor,contractor,2019-04-29,11,0,2,2,2,11,7,240784366,0.7228480327053981,3.2052333154007453,priv_actions +15.9 SD vs role mean; bytes_out +14.2 SD vs role mean; foreign +12.7 SD vs role mean,GT3_dormant_account
vend069,vendor_technician,vendor,2019-04-26,7,0,4,2,2,5,5,40771399,0.7183657066077206,1.5885496162774877,distinct_countries +6.5 SD vs role mean; foreign +6.4 SD vs role mean; external +6.4 SD vs role mean,GT2_vendor_out_of_hours
supe114,supervisor,employee,2019-04-24,3,3,0,1,1,3,3,0,0.7181822754171915,1.769737857613794,external +11.3 SD vs role mean; foreign +11.3 SD vs role mean; failure_ratio +7.1 SD vs role mean,GT1_password_spray
vend072,vendor_technician,vendor,2019-04-24,3,3,0,1,1,3,3,0,0.7171874815251992,1.8249655496704142,failure_ratio +6.1 SD vs role mean; failures +5.4 SD vs role mean; foreign +3.8 SD vs role mean,GT1_password_spray
vend076,vendor_technician,vendor,2019-04-24,3,3,0,1,1,3,3,0,0.7171874815251992,1.8249655496704142,failure_ratio +6.1 SD vs role mean; failures +5.4 SD vs role mean; foreign +3.8 SD vs role mean,GT1_password_spray
vend069,vendor_technician,vendor,2019-04-28,12,0,4,2,2,7,5,39351134,0.7167697930237166,1.5857658093202693,distinct_countries +6.5 SD vs role mean; foreign +6.4 SD vs role mean; external +6.4 SD vs role mean,GT2_vendor_out_of_hours
main038,maintenance_engineer,employee,2019-04-24,14,2,0,3,2,6,2,13915129,0.7113050005955048,1.0011674491315186,external +7.7 SD vs role mean; foreign +7.7 SD vs role mean; distinct_countries +7.5 SD vs role mean,GT1_password_spray
ot054,ot_network_admin,employee,2019-04-24,5,3,0,2,2,2,2,0,0.7100355484453637,1.0068124933796623,mfa_absent +11.9 SD vs role mean; foreign +9.7 SD vs role mean; external +9.7 SD vs role mean,GT1_password_spray
main047,maintenance_engineer,employee,2019-04-24,14,2,4,2,2,7,2,17221351,0.7084949618032412,1.0041751696674432,external +7.7 SD vs role mean; foreign +7.7 SD vs role mean; distinct_countries +7.5 SD vs role mean,GT1_password_spray
cont015,control_room_operator,employee,2019-04-09,26,2,3,2,1,12,0,25546171,0.7079813320995777,1.6093109215498855,mfa_absent +5.6 SD vs role mean; failures +4.1 SD vs role mean; logins +3.5 SD vs role mean,
main029,maintenance_engineer,employee,2019-04-24,5,2,1,3,2,2,2,5438675,0.7045064860076177,1.0028857741845605,external +7.7 SD vs role mean; foreign +7.7 SD vs role mean; distinct_countries +7.5 SD vs role mean,GT1_password_spray
cont008,control_room_operator,employee,2019-04-24,20,2,0,2,2,8,2,15043855,0.703664778562268,1.0050925297097881,distinct_countries +9.2 SD vs role mean; foreign +7.1 SD vs role mean; external +7.1 SD vs role mean,GT1_password_spray
cont022,control_room_operator,employee,2019-04-24,4,2,0,2,2,4,2,2709142,0.7014225828488637,1.0067834427774962,distinct_countries +9.2 SD vs role mean; foreign +7.1 SD vs role mean; external +7.1 SD vs role mean,GT1_password_spray
main032,maintenance_engineer,employee,2019-04-24,9,2,0,4,2,2,2,10597011,0.6954546093174148,1.004631586507045,external +7.7 SD vs role mean; foreign +7.7 SD vs role mean; distinct_countries +7.5 SD vs role mean,GT1_password_spray
mine099,mine_planner,employee,2019-04-24,8,3,0,2,2,2,2,6109216,0.6935372588793638,1.0059802264997117,distinct_countries +18.3 SD vs role mean; foreign +18.3 SD vs role mean; external +18.3 SD vs role mean,GT1_password_spray
cont087,contractor_surveyor,contractor,2019-04-24,9,2,0,4,2,2,2,2239188,0.6927359125422521,1.0030273029319003,distinct_countries +6.4 SD vs role mean; failures +3.7 SD vs role mean; foreign +3.5 SD vs role mean,GT1_password_spray
cont018,control_room_operator,employee,2019-04-24,2,2,0,1,1,2,2,0,0.6922740656960442,1.9426685992822104,failure_ratio +8.8 SD vs role mean; foreign +7.1 SD vs role mean; external +7.1 SD vs role mean,GT1_password_spray
cont017,control_room_operator,employee,2019-04-24,11,2,0,2,2,3,2,6806744,0.6883635499044207,1.008320986291192,distinct_countries +9.2 SD vs role mean; foreign +7.1 SD vs role mean; external +7.1 SD vs role mean,GT1_password_spray
cont078,contractor_surveyor,contractor,2019-04-24,7,2,0,3,2,2,2,7107931,0.6856085230278387,1.0036561479525046,distinct_countries +6.4 SD vs role mean; failures +3.7 SD vs role mean; foreign +3.5 SD vs role mean,GT1_password_spray
cont015,control_room_operator,employee,2019-04-12,21,1,4,2,1,15,0,23676286,0.6836033730338494,1.4177290015423132,priv_actions +4.7 SD vs role mean; mfa_absent +4.4 SD vs role mean; logins +2.8 SD vs role mean,
vend069,vendor_technician,vendor,2019-04-27,5,0,4,1,1,5,5,47315192,0.6835045718548909,1.6950293031903656,external +6.4 SD vs role mean; foreign +6.4 SD vs role mean; bytes_out +4.2 SD vs role mean,GT2_vendor_out_of_hours
supe111,supervisor,employee,2019-04-10,32,0,0,2,1,2,0,46127537,0.6771702327438937,1.9571667245911726,mfa_absent +5.5 SD vs role mean; resource_access +4.9 SD vs role mean; events +4.8 SD vs role mean,
ot055,ot_network_admin,employee,2019-04-11,25,2,3,3,1,11,0,29001037,0.6743025050976743,1.3998232849177825,failures +3.8 SD vs role mean; logins +2.8 SD vs role mean; events +2.8 SD vs role mean,
main043,maintenance_engineer,employee,2019-04-17,30,0,0,1,1,12,0,33482246,0.6739024793215335,1.6424379490773682,mfa_absent +9.8 SD vs role mean; resource_access +4.8 SD vs role mean; events +4.7 SD vs role mean,
