username,days_active,mean_events,sd_events,mean_failures,max_failures,mean_ooh,max_distinct_countries,mean_bytes_out
cont001,28,7.714285714285714,4.319268995569118,0.21428571428571427,2,4.142857142857143,1,7038216.785714285
cont002,24,7.125,3.6512356455219965,0.08333333333333333,1,2.6666666666666665,1,8109385.333333333
cont003,27,9.592592592592593,4.773800769740374,0.18518518518518517,1,4.444444444444445,1,11357035.111111112
cont004,27,7.962962962962963,4.309930228611431,0.1111111111111111,1,3.7777777777777777,1,8294795.851851852
cont005,23,10.73913043478261,6.810535897378867,0.30434782608695654,1,5.391304347826087,1,13626948.0
cont006,26,11.26923076923077,5.93671755978128,0.23076923076923078,2,5.423076923076923,2,16085780.846153846
cont007,28,10.178571428571429,5.63753013577276,0.10714285714285714,1,4.535714285714286,1,12113593.285714285
cont008,28,10.357142857142858,5.82595905768303,0.17857142857142858,2,5.5,2,10989362.07142857
cont009,25,9.12,6.603786792439622,0.16,1,3.96,1,11091062.8
cont010,26,10.346153846153847,6.138027746384388,0.0,0,6.6923076923076925,1,12423218.076923076
cont011,26,10.038461538461538,6.095774072130753,0.15384615384615385,1,3.8846153846153846,1,12843630.73076923
cont012,26,8.384615384615385,5.27694550342846,0.07692307692307693,1,3.8461538461538463,1,9970974.653846154
cont013,27,9.25925925925926,6.400676602411729,0.18518518518518517,1,4.0,1,10820092.370370371
cont014,27,9.037037037037036,6.2909060218301285,0.2222222222222222,1,3.962962962962963,2,9376491.777777778
cont015,27,11.444444444444445,6.259351977600171,0.48148148148148145,3,5.0,2,11436009.962962963
cont016,27,8.148148148148149,5.354392184881088,0.25925925925925924,1,2.740740740740741,1,8330073.0
cont017,25,8.6,5.461989869391313,0.2,2,5.28,2,10559298.28
cont018,28,8.928571428571429,4.814550257282001,0.14285714285714285,2,3.9642857142857144,1,10593747.214285715
cont019,25,11.32,5.359726361174296,0.12,1,4.64,1,12633609.96
cont020,28,10.107142857142858,5.58661950201707,0.03571428571428571,1,3.7857142857142856,1,11514477.357142856
cont021,26,9.0,6.170899448216605,0.19230769230769232,3,3.6923076923076925,2,9300563.26923077
cont022,26,10.23076923076923,6.525688881996704,0.2692307692307692,2,5.076923076923077,2,12278908.5
cont023,27,8.185185185185185,4.812140392454813,0.037037037037037035,1,4.296296296296297,1,11066106.037037037
cont024,24,7.916666666666667,5.977615248405589,0.25,2,4.416666666666667,1,9060036.666666666
cont025,26,9.923076923076923,5.4693551862944645,0.07692307692307693,1,4.884615384615385,1,12960089.0
cont026,28,10.25,5.7518113089124645,0.17857142857142858,3,4.107142857142857,2,12571952.892857144
cont078,21,5.857142857142857,4.2811880861008,0.3333333333333333,2,0.8571428571428571,2,5736420.428571428
cont079,23,8.173913043478262,5.201854336440939,0.043478260869565216,1,0.5217391304347826,1,9859652.43478261
cont080,21,7.523809523809524,3.7365632286774915,0.19047619047619047,3,1.619047619047619,2,10162974.19047619
cont081,9,7.0,2.8284271247461903,0.4444444444444444,3,2.111111111111111,2,30982381.333333332
cont082,23,7.434782608695652,4.460188407725739,0.13043478260869565,2,1.0,1,8723347.217391305
cont083,25,7.56,4.761652374263931,0.08,1,1.6,2,8347385.8
cont084,17,8.0,5.689903338370521,0.17647058823529413,1,1.2941176470588236,1,8870393.411764706
cont085,19,7.473684210526316,4.718385093942295,0.15789473684210525,1,0.42105263157894735,1,9290556.894736841
cont086,28,7.714285714285714,3.419520681780079,0.10714285714285714,2,1.0714285714285714,2,7775152.464285715
cont087,24,7.458333333333333,4.52989266277159,0.3333333333333333,2,0.9166666666666666,2,6829259.625
cont088,20,7.15,3.7595492450978463,0.2,2,1.0,1,8574992.55
cont089,24,6.708333333333333,5.103103630798287,0.16666666666666666,1,1.125,1,7694417.166666667
it059,24,7.666666666666667,3.690960363617727,0.125,1,1.25,1,7851957.083333333
it060,24,7.666666666666667,4.842445184234803,0.125,1,1.0833333333333333,1,9127224.875
it061,23,6.913043478260869,3.26013166881703,0.13043478260869565,1,1.173913043478261,2,8544716.173913043
it062,25,8.96,5.045460005457051,0.12,1,0.76,1,11471498.44
it063,24,9.208333333333334,5.098841869071554,0.20833333333333334,1,1.8333333333333333,2,9898535.5
it064,25,7.68,3.6138621999185303,0.12,1,1.32,1,9308584.56
it065,27,5.703703703703703,3.23222731986682,0.14814814814814814,1,0.9259259259259259,1,6488148.777777778
it066,25,8.96,5.350077881053073,0.12,1,0.8,1,10240351.08
it067,21,7.904761904761905,5.584843434732633,0.09523809523809523,1,0.47619047619047616,1,7890725.952380952
it068,24,7.541666666666667,5.926940457639658,0.08333333333333333,1,1.125,1,8925830.416666666
main027,27,8.11111111111111,4.838414658775786,0.1111111111111111,1,2.111111111111111,1,10275656.296296297
main028,22,7.818181818181818,4.054819162620997,0.18181818181818182,1,2.6818181818181817,2,8400193.045454545
main029,23,7.0,5.477225575051661,0.13043478260869565,2,1.6521739130434783,2,8972954.56521739
main030,24,5.791666666666667,3.6113247800034083,0.16666666666666666,1,1.4166666666666667,1,5928336.333333333
main031,25,6.4,4.301162633521313,0.08,1,0.8,1,7335784.36
main032,25,8.2,4.112987559751022,0.24,2,1.84,2,8837760.32
main033,20,6.5,2.7625312572654126,0.1,1,1.35,1,7594914.75
main034,24,8.916666666666666,6.1071352899109215,0.0,0,2.5416666666666665,1,11451109.0
main035,25,6.56,4.537620521815372,0.08,2,2.12,1,7454059.2
main036,23,7.434782608695652,5.703476507251932,0.17391304347826086,2,1.5217391304347827,1,8200305.391304348
main037,23,7.478260869565218,5.221194266182536,0.13043478260869565,1,2.0869565217391304,2,9366806.391304348
main038,22,8.0,5.380741673076393,0.2727272727272727,2,2.0454545454545454,2,7689623.863636363
main039,26,7.153846153846154,4.721798874939996,0.11538461538461539,1,1.7692307692307692,2,7721745.923076923
main040,22,5.454545454545454,2.8739763846872957,0.3181818181818182,2,1.5,1,5823374.7272727275
main041,24,7.458333333333333,5.540202214694888,0.16666666666666666,1,2.125,1,9118265.666666666
main042,28,7.571428571428571,4.756504874835999,0.17857142857142858,2,2.4642857142857144,2,10186765.0
main043,24,7.791666666666667,6.086186545503405,0.08333333333333333,1,2.375,1,9791291.458333334
main044,23,8.521739130434783,3.9642672740069944,0.13043478260869565,1,1.6521739130434783,1,11116722.173913043
main045,23,8.782608695652174,5.426840046046639,0.08695652173913043,2,2.0,1,11268389.739130436
main046,23,6.478260869565218,3.603906532152314,0.13043478260869565,1,1.391304347826087,1,7931720.173913044
main047,24,8.291666666666666,5.433224414307943,0.08333333333333333,2,2.25,2,10056365.916666666
main048,23,7.782608695652174,5.720430067582574,0.30434782608695654,1,2.260869565217391,2,8792824.56521739
main049,24,6.666666666666667,3.045547950507524,0.2916666666666667,3,2.0416666666666665,2,6165023.208333333
main050,23,8.869565217391305,5.715245543329994,0.21739130434782608,2,1.826086956521739,1,11148637.608695652
mine090,24,9.5,6.213589594765165,0.0,0,1.4166666666666667,1,11902907.333333334
mine091,28,7.357142857142857,5.078745001833701,0.03571428571428571,1,1.1428571428571428,1,8200299.928571428
mine092,22,9.772727272727273,6.171607941917941,0.09090909090909091,2,1.5454545454545454,1,12543637.727272727
mine093,27,7.37037037037037,4.011024693057759,0.2222222222222222,2,0.48148148148148145,1,7966643.518518519
mine094,18,8.833333333333334,4.475423082201936,0.2222222222222222,1,0.7777777777777778,1,12232800.111111112
mine095,25,6.48,3.6069377593742864,0.24,2,1.0,1,7199021.56
mine096,25,8.12,6.23377895020348,0.16,1,0.72,1,9061433.44
mine097,24,7.958333333333333,3.804792934623686,0.16666666666666666,1,0.7083333333333334,1,10022684.458333334
mine098,24,8.375,5.09742049002963,0.125,1,0.7083333333333334,1,9424124.625
mine099,26,8.153846153846153,4.9613893835683385,0.38461538461538464,3,1.0769230769230769,2,8956310.423076924
mine100,23,7.521739130434782,3.3285209002497202,0.13043478260869565,1,0.391304347826087,1,7874848.695652174
mine101,26,7.653846153846154,5.513200940958403,0.34615384615384615,2,1.0,1,8306647.115384615
mine102,23,7.478260869565218,5.2989670109748,0.13043478260869565,2,0.30434782608695654,1,9973431.391304348
mine103,23,6.521739130434782,4.241243012666231,0.043478260869565216,1,0.9130434782608695,1,7889236.956521739
ot051,27,9.925925925925926,5.434405536281179,0.2962962962962963,3,3.3703703703703702,2,10638426.296296297
ot052,26,9.5,6.067948582511226,0.19230769230769232,1,3.269230769230769,1,10972842.153846154
ot053,28,8.178571428571429,5.149998715775254,0.03571428571428571,1,2.357142857142857,1,9198484.67857143
ot054,27,9.333333333333334,6.415126355251792,0.3333333333333333,3,2.5185185185185186,2,11826229.222222222
ot055,27,8.11111111111111,6.907817941864762,0.18518518518518517,2,2.6296296296296298,1,9574182.0
ot056,27,8.333333333333334,5.196152422706632,0.18518518518518517,1,2.2962962962962963,1,10139173.666666666
ot057,28,9.035714285714286,4.646640704989987,0.14285714285714285,1,1.7857142857142858,1,10530666.285714285
ot058,26,9.192307692307692,6.026735307074508,0.15384615384615385,2,2.423076923076923,2,10661183.307692308
supe104,26,8.076923076923077,4.507088434216279,0.11538461538461539,1,3.1923076923076925,1,9144470.153846154
supe105,25,7.08,3.850541087518307,0.16,1,2.68,1,7766356.52
supe106,24,6.791666666666667,4.393465173628221,0.125,2,1.8333333333333333,2,6830034.625
supe107,24,8.708333333333334,5.352603321640843,0.0,0,2.0833333333333335,1,12320821.333333334
supe108,27,5.666666666666667,3.0127932350101756,0.037037037037037035,1,2.3703703703703702,1,6162534.555555556
supe109,24,7.166666666666667,5.197546801484637,0.20833333333333334,2,2.5,1,8990839.0
supe110,24,8.125,5.202946489626147,0.0,0,3.4583333333333335,1,11418487.75
supe111,23,8.91304347826087,7.621220634030298,0.0,0,2.9565217391304346,1,11579184.739130436
supe112,24,8.0,4.907846424017272,0.2916666666666667,4,3.3333333333333335,2,9486031.291666666
supe113,25,8.16,5.828664798505172,0.16,1,2.8,1,9487015.4
supe114,25,6.88,4.684371178006002,0.28,3,2.08,1,7803905.36
vend069,23,7.260869565217392,3.7684985110343328,0.08695652173913043,1,2.4782608695652173,2,13768325.130434783
vend070,25,7.56,4.856953777832357,0.16,1,1.72,1,7843899.0
vend071,25,6.52,4.1944407652669655,0.16,3,1.88,2,7450534.24
vend072,21,6.619047619047619,3.007926037591192,0.19047619047619047,3,1.4285714285714286,1,8382964.952380952
vend073,27,7.037037037037037,5.17747697303115,0.25925925925925924,2,1.1481481481481481,1,8014567.37037037
vend074,26,7.384615384615385,5.550329165567917,0.11538461538461539,1,2.1538461538461537,1,8402616.846153846
vend075,22,8.363636363636363,5.876064884609302,0.4090909090909091,2,1.6363636363636365,1,10661811.863636363
vend076,24,7.125,4.580796399336464,0.20833333333333334,3,0.9583333333333334,1,9097721.5
vend077,23,7.0,3.813850356982369,0.13043478260869565,1,1.826086956521739,2,7994770.391304348
