dataset,column,dtype,semantic_role,non_null,missing_pct,n_unique,is_constant,example_values
iot_fridge,ts,int64,timestamp,59944,0.0,18910,False,1556245180 ; 1556245185 ; 1556245195
iot_fridge,date,str,timestamp,59944,0.0,8,False,25-Apr-19 ; 28-Apr-19 ; 29-Apr-19
iot_fridge,time,str,timestamp,59944,0.0,18106,False, 19:19:40  ;  19:19:45  ;  19:19:55 
iot_fridge,fridge_temperature,float64,numeric,59944,0.0,151,False,9.0 ; 9.25 ; 12.65
iot_fridge,temp_condition,str,categorical,59944,0.0,2,False,high ; low
iot_fridge,label,int64,security_label,59944,0.0,2,False,1 ; 0
iot_fridge,type,str,security_label,59944,0.0,7,False,ddos ; backdoor ; injection
iot_garage_door,ts,int64,timestamp,59587,0.0,18959,False,1556228553 ; 1556228558 ; 1556228563
iot_garage_door,date,str,timestamp,59587,0.0,8,False,25-Apr-19 ; 28-Apr-19 ; 1-Apr-19
iot_garage_door,time,str,timestamp,59587,0.0,18166,False, 14:42:33  ;  14:42:38  ;  14:42:43 
iot_garage_door,door_state,str,categorical,59587,0.0,2,False,closed ; open
iot_garage_door,sphone_signal,str,categorical,59587,0.0,4,False,0 ; 1 ; true  
iot_garage_door,label,int64,security_label,59587,0.0,2,False,1 ; 0
iot_garage_door,type,str,security_label,59587,0.0,8,False,ddos ; backdoor ; injection
iot_gps_tracker,ts,int64,timestamp,58960,0.0,26898,False,1556242299 ; 1556242301 ; 1556242306
iot_gps_tracker,date,str,timestamp,58960,0.0,8,False,25-Apr-19 ; 28-Apr-19 ; 31-Mar-19
iot_gps_tracker,time,str,timestamp,58960,0.0,25032,False, 18:31:39  ;  18:31:41  ;  18:31:46 
iot_gps_tracker,latitude,float64,numeric,58960,0.0,58341,False,116.5217044 ; 121.7429329 ; 121.7959286
iot_gps_tracker,longitude,float64,numeric,58960,0.0,58341,False,132.1625042 ; 135.0725 ; 135.1101981
iot_gps_tracker,label,int64,security_label,58960,0.0,2,False,1 ; 0
iot_gps_tracker,type,str,security_label,58960,0.0,8,False,ddos ; backdoor ; injection
