dataset,file,relative_path,rows,columns,size_mb,sha256,provenance,data_status,project_role,time_from,time_to,duplicate_rows,duplicate_pct,missing_cells,labelled,label_column,n_classes
iot_fridge,Train_Test_IoT_Fridge.csv,data/raw/ton_iot_gh/Train_Test_IoT_dataset/Train_Test_IoT_Fridge.csv,59944,7,3.13,6e78a4fd54125b90,ToN_IoT (UNSW Canberra) - IoT telemetry,public research dataset,IIoT telemetry,2019-03-31 19:36:52,2019-04-29 08:13:08,8901,14.85,0,True,label,2
iot_garage_door,Train_Test_IoT_Garage_Door.csv,data/raw/ton_iot_gh/Train_Test_IoT_dataset/Train_Test_IoT_Garage_Door.csv,59587,7,3.32,1f54627eca05ab84,ToN_IoT (UNSW Canberra) - IoT telemetry,public research dataset,IIoT telemetry,2019-03-31 19:36:52,2019-04-29 06:55:18,38836,65.18,0,True,label,2
iot_gps_tracker,Train_Test_IoT_GPS_Tracker.csv,data/raw/ton_iot_gh/Train_Test_IoT_dataset/Train_Test_IoT_GPS_Tracker.csv,58960,7,3.76,eacf3898b05c2b2d,ToN_IoT (UNSW Canberra) - IoT telemetry,public research dataset,IIoT telemetry,2019-03-31 19:36:52,2019-04-28 18:44:04,0,0.0,0,True,label,2
iot_modbus,Train_Test_IoT_Modbus.csv,data/raw/ton_iot_gh/Train_Test_IoT_dataset/Train_Test_IoT_Modbus.csv,51106,9,3.26,435bc6c8c067b510,ToN_IoT (UNSW Canberra) - IoT telemetry,public research dataset,IIoT telemetry (OT protocol),2019-03-31 19:36:52,2019-04-28 19:40:18,19744,38.63,0,True,label,2
iot_motion_light,Train_Test_IoT_Motion_Light.csv,data/raw/ton_iot_gh/Train_Test_IoT_dataset/Train_Test_IoT_Motion_Light.csv,59488,7,2.79,57f706df9e9c499e,ToN_IoT (UNSW Canberra) - IoT telemetry,public research dataset,IIoT telemetry,2019-03-31 19:36:52,2019-04-29 04:26:44,28629,48.13,0,True,label,2
iot_thermostat,Train_Test_IoT_Thermostat.csv,data/raw/ton_iot_gh/Train_Test_IoT_dataset/Train_Test_IoT_Thermostat.csv,52774,7,2.84,61fa647362575bce,ToN_IoT (UNSW Canberra) - IoT telemetry,public research dataset,IIoT telemetry,2019-03-31 19:36:52,2019-04-29 05:12:49,1154,2.19,0,True,label,2
iot_weather,Train_Test_IoT_Weather.csv,data/raw/ton_iot_gh/Train_Test_IoT_dataset/Train_Test_IoT_Weather.csv,59260,8,4.45,915b1ee023a4edf6,ToN_IoT (UNSW Canberra) - IoT telemetry,public research dataset,IIoT telemetry,2019-03-31 19:36:52,2019-04-28 20:59:39,0,0.0,0,True,label,2
network_flow,TON_IoT_Train_Test_Network.csv,data/raw/netrepo/data/TON_IoT_Train_Test_Network.csv,211043,44,29.69,3019999cb8a94172,ToN_IoT (UNSW Canberra) - Zeek network flows,public research dataset,Network activity,,,20569,9.75,0,True,label,2
access_log,synthetic_remote_access_log.csv,data/raw/synthetic_remote_access_log.csv,22686,18,3.75,ede32d0328afe924,"Generated by src/s02 (documented rules, seed 3815)",SYNTHETIC,Identity/access activity,2019-04-01 00:38:39,2019-05-01 00:42:38,0,0.0,22578,False,,0
asset_inventory,mining_asset_inventory.csv,data/raw/mining_asset_inventory.csv,194,11,0.02,3d5f3db56e1312c2,Generated by src/s02,SYNTHETIC,Asset/device context,,,0,0.0,26,False,,0
user_directory,mining_user_directory.csv,data/raw/mining_user_directory.csv,114,7,0.01,24ad2ccbc168160a,Generated by src/s02,SYNTHETIC,User/account context,,,0,0.0,0,False,,0
tickets,synthetic_maintenance_tickets.csv,data/raw/synthetic_maintenance_tickets.csv,320,10,0.08,2200cd9518bc949c,Generated by src/s03,SYNTHETIC,Unstructured maintenance/incident text,2019-04-01 00:32:00,2019-04-30 19:30:00,0,0.0,0,True,category,5
attack_ics_text,attack_ics_text.csv,data/raw/attack_ics_text.csv,357,11,0.32,112eacdb7ab72b36,MITRE ATT&CK for ICS (STIX bundle),"public, attribution required",Unstructured threat-intelligence text,,,0,0.0,319,False,,0
