username,day,events,logins,failures,resource_access,priv_actions,distinct_ips,distinct_countries,distinct_targets,out_of_hours,weekend,foreign,external,bytes_out,mfa_absent,gt,failure_ratio,role,employment_type
supe112,2019-04-24,15,2,4,7,3,3,2,2,5,0,3,3,18928693,15,GT1_password_spray,0.26666666666666666,supervisor,employee
cont015,2019-04-24,12,3,3,3,1,3,2,4,8,0,3,3,6442021,12,GT1_password_spray,0.25,control_room_operator,employee
cont021,2019-04-24,22,5,3,9,0,2,2,3,9,0,3,3,23075958,3,GT1_password_spray,0.13636363636363635,control_room_operator,employee
cont026,2019-04-24,8,2,3,1,0,3,2,2,6,0,3,3,2864978,3,GT1_password_spray,0.375,control_room_operator,employee
cont080,2019-04-24,11,2,3,4,0,4,2,3,7,0,3,3,11414219,11,GT1_password_spray,0.2727272727272727,contractor_surveyor,contractor
cont081,2019-04-24,3,0,3,0,0,1,1,1,3,0,3,3,0,3,GT1_password_spray,1.0,contractor_surveyor,contractor
main049,2019-04-24,9,2,3,2,2,2,2,4,3,0,3,3,6697652,3,GT1_password_spray,0.3333333333333333,maintenance_engineer,employee
supe114,2019-04-24,3,0,3,0,0,1,1,3,3,0,3,3,0,3,GT1_password_spray,1.0,supervisor,employee
vend071,2019-04-24,6,1,3,1,0,3,2,2,5,0,3,3,5841709,3,GT1_password_spray,0.5,vendor_technician,vendor
vend072,2019-04-24,3,0,3,0,0,1,1,2,3,0,3,3,0,3,GT1_password_spray,1.0,vendor_technician,vendor
vend076,2019-04-24,3,0,3,0,0,1,1,2,3,0,3,3,0,3,GT1_password_spray,1.0,vendor_technician,vendor
mine099,2019-04-24,8,2,3,2,0,2,2,2,2,0,2,2,6109216,2,GT1_password_spray,0.375,mine_planner,employee
ot054,2019-04-24,5,1,3,0,0,2,2,3,2,0,2,2,0,2,GT1_password_spray,0.6,ot_network_admin,employee
ot051,2019-04-02,22,8,3,6,3,2,1,3,5,0,0,0,14259943,0,,0.13636363636363635,ot_network_admin,employee
cont006,2019-04-24,13,4,2,5,0,4,2,5,13,0,3,3,55140251,3,GT1_password_spray,0.15384615384615385,control_room_operator,employee
main042,2019-04-24,13,4,2,4,0,3,2,4,9,0,3,3,50310783,3,GT1_password_spray,0.15384615384615385,maintenance_engineer,employee
cont008,2019-04-24,20,6,2,6,0,2,2,2,8,0,2,2,15043855,2,GT1_password_spray,0.1,control_room_operator,employee
cont017,2019-04-24,11,2,2,5,0,2,2,2,3,0,2,2,6806744,11,GT1_password_spray,0.18181818181818182,control_room_operator,employee
cont018,2019-04-24,2,0,2,0,0,1,1,2,2,0,2,2,0,2,GT1_password_spray,1.0,control_room_operator,employee
cont022,2019-04-24,4,0,2,1,0,2,2,3,4,0,2,2,2709142,2,GT1_password_spray,0.5,control_room_operator,employee
