username,alert_weight,alerts,rules,first_seen,last_seen,max_anomaly_score,case_score
vend069,57.5,22,4,2019-04-25 00:00:00+00:00,2019-04-28 02:56:00+00:00,0.7558089752105122,302.61617950421027
cont081,14.5,8,5,2019-04-24 02:00:00+00:00,2019-04-29 04:02:00+00:00,0.7299352084218983,101.59870416843796
main029,12.5,9,2,2019-04-05 02:32:22+00:00,2019-04-24 02:37:28+00:00,0.7045064860076177,51.590129720152355
ot054,11.0,8,2,2019-04-01 21:29:17+00:00,2019-04-24 02:17:45+00:00,0.7100355484453637,47.20071096890727
supe112,8.0,6,3,2019-04-19 01:51:53+00:00,2019-04-24 02:32:38+00:00,0.7481662227724241,46.96332445544848
ot051,8.0,5,3,2019-04-08 22:36:58+00:00,2019-04-28 00:53:25+00:00,0.6426377590730014,44.852755181460026
vend072,6.5,5,3,2019-04-10 22:12:08+00:00,2019-04-30 03:03:18+00:00,0.7171874815251992,40.343749630503986
cont001,10.5,7,1,2019-04-03 22:46:39+00:00,2019-04-29 22:06:53+00:00,0.5777322408652948,32.5546448173059
it061,6.5,5,2,2019-04-07 19:36:42+00:00,2019-04-24 02:41:07+00:00,0.5863108517592486,31.226217035184973
ot052,9.0,6,1,2019-04-02 01:43:46+00:00,2019-04-16 21:03:26+00:00,0.6137243330359529,30.274486660719056
it066,9.0,6,1,2019-04-18 05:42:30+00:00,2019-04-21 18:18:13+00:00,0.5737288959343821,29.474577918687643
cont015,3.5,3,3,2019-04-03 23:37:10+00:00,2019-04-24 02:18:13+00:00,0.7426909617149431,28.85381923429886
main049,3.5,3,3,2019-04-24 02:00:00+00:00,2019-04-28 00:46:43+00:00,0.7304600399513802,28.609200799027604
vend076,3.5,3,3,2019-04-23 02:56:39+00:00,2019-04-24 02:15:36+00:00,0.7171874815251992,28.343749630503986
supe106,5.0,4,2,2019-04-05 23:32:50+00:00,2019-04-24 02:19:55+00:00,0.657467434652262,28.14934869304524
it059,7.5,5,1,2019-04-02 00:18:23+00:00,2019-04-30 00:52:35+00:00,0.5816684699657082,26.633369399314162
ot053,7.5,5,1,2019-04-01 21:09:58+00:00,2019-04-18 22:59:41+00:00,0.5725939547425813,26.451879094851627
main042,3.5,2,2,2019-04-24 02:14:00+00:00,2019-04-24 03:09:10+00:00,0.743549880112492,25.37099760224984
vend075,6.0,4,1,2019-04-06 03:15:20+00:00,2019-04-25 23:12:28+00:00,0.6508773925114103,25.017547850228205
main047,3.5,3,2,2019-04-24 02:26:25+00:00,2019-04-26 22:41:07+00:00,0.7084949618032412,24.669899236064825
vend070,3.5,3,2,2019-04-16 22:47:05+00:00,2019-04-24 02:19:34+00:00,0.6430341813727539,23.360683627455078
ot055,4.5,3,1,2019-04-11 01:44:46+00:00,2019-04-29 20:04:20+00:00,0.6743025050976743,22.486050101953488
vend073,4.5,3,1,2019-04-06 03:20:42+00:00,2019-04-06 03:29:09+00:00,0.6663018296767135,22.32603659353427
it068,4.5,3,1,2019-04-11 18:01:45+00:00,2019-04-11 18:16:09+00:00,0.6334998080343944,21.669996160687887
ot056,4.5,3,1,2019-04-04 02:30:19+00:00,2019-04-26 01:35:48+00:00,0.6058720455339973,21.117440910679946
cont080,2.0,2,2,2019-04-24 02:00:00+00:00,2019-04-24 02:28:22+00:00,0.7376912452274376,20.75382490454875
cont021,2.0,2,2,2019-04-24 02:00:00+00:00,2019-04-24 02:35:27+00:00,0.7352098349169295,20.704196698338592
vend071,2.0,2,2,2019-04-24 02:00:00+00:00,2019-04-24 02:17:04+00:00,0.7300998603028745,20.60199720605749
cont026,2.0,2,2,2019-04-24 02:00:00+00:00,2019-04-24 02:21:57+00:00,0.7252630670769638,20.505261341539274
supe114,2.0,2,2,2019-04-24 02:00:00+00:00,2019-04-24 02:27:06+00:00,0.7181822754171915,20.36364550834383
it060,3.0,2,1,2019-04-05 18:09:47+00:00,2019-04-23 23:16:46+00:00,0.6570605010276818,19.141210020553636
main037,2.0,2,2,2019-04-21 22:05:30+00:00,2019-04-24 02:26:59+00:00,0.6124906790998448,18.249813581996897
cont023,3.0,2,1,2019-04-01 23:00:55+00:00,2019-04-19 03:23:17+00:00,0.5973933884111805,17.94786776822361
main030,3.0,2,1,2019-04-19 20:02:30+00:00,2019-04-19 20:12:50+00:00,0.5883181012224326,17.76636202444865
ot057,3.0,2,1,2019-04-23 03:54:43+00:00,2019-04-30 21:47:32+00:00,0.5626430423458527,17.252860846917052
cont006,0.5,1,1,2019-04-24 02:15:03+00:00,2019-04-24 02:15:03+00:00,0.7631064847575848,16.262129695151696
main033,3.0,2,1,2019-04-08 20:29:11+00:00,2019-04-26 02:35:46+00:00,0.4953882240265003,15.907764480530005
main038,0.5,1,1,2019-04-24 02:39:23+00:00,2019-04-24 02:39:23+00:00,0.7113050005955048,15.226100011910097
cont008,0.5,1,1,2019-04-24 02:16:43+00:00,2019-04-24 02:16:43+00:00,0.703664778562268,15.073295571245358
cont022,0.5,1,1,2019-04-24 02:36:55+00:00,2019-04-24 02:36:55+00:00,0.7014225828488637,15.028451656977275
main032,0.5,1,1,2019-04-24 02:21:25+00:00,2019-04-24 02:21:25+00:00,0.6954546093174148,14.909092186348296
mine099,0.5,1,1,2019-04-24 02:31:33+00:00,2019-04-24 02:31:33+00:00,0.6935372588793638,14.870745177587276
cont087,0.5,1,1,2019-04-24 02:23:05+00:00,2019-04-24 02:23:05+00:00,0.6927359125422521,14.854718250845043
cont018,0.5,1,1,2019-04-24 02:25:25+00:00,2019-04-24 02:25:25+00:00,0.6922740656960442,14.845481313920885
cont017,0.5,1,1,2019-04-24 02:34:08+00:00,2019-04-24 02:34:08+00:00,0.6883635499044207,14.767270998088414
cont078,0.5,1,1,2019-04-24 02:20:18+00:00,2019-04-24 02:20:18+00:00,0.6856085230278387,14.712170460556774
ot058,0.5,1,1,2019-04-24 02:33:47+00:00,2019-04-24 02:33:47+00:00,0.6656130103109733,14.312260206219467
cont086,0.5,1,1,2019-04-24 02:24:17+00:00,2019-04-24 02:24:17+00:00,0.6607085223704768,14.214170447409536
cont014,0.5,1,1,2019-04-24 02:34:53+00:00,2019-04-24 02:34:53+00:00,0.6446006036118166,13.892012072236332
cont083,0.5,1,1,2019-04-24 02:24:39+00:00,2019-04-24 02:24:39+00:00,0.6287188444775265,13.574376889550528
main028,0.5,1,1,2019-04-24 02:31:00+00:00,2019-04-24 02:31:00+00:00,0.6278835741810672,13.557671483621345
vend077,0.5,1,1,2019-04-24 02:32:05+00:00,2019-04-24 02:32:05+00:00,0.6203856928417033,13.407713856834066
main048,0.5,1,1,2019-04-24 02:30:31+00:00,2019-04-24 02:30:31+00:00,0.608951401241685,13.1790280248337
main039,0.5,1,1,2019-04-24 02:24:48+00:00,2019-04-24 02:24:48+00:00,0.6072883471345012,13.145766942690024
it063,0.5,1,1,2019-04-24 02:40:40+00:00,2019-04-24 02:40:40+00:00,0.5983713809398817,12.967427618797634
