asset_id,events,accounts,asset_type,site,site_zone,device_zone,criticality,primary_protocol,ip_address,owner_team,patch_status,remote_access_enabled
AST-0188,7,cont081,vpn_gateway,PORT-WVB,IT,IT-OT,critical,ipsec,192.168.17.18,IT Operations,behind_1_cycle,False
AST-0095,23,main029,rtu,TAILINGS-01,OT,OT,critical,dnp3,192.168.13.160,OT Engineering,current,True
AST-0160,23,it061,vpn_gateway,CAMP-01,IT,IT-OT,critical,ipsec,192.168.15.242,IT Operations,current,False
AST-0042,25,supe112,sensor_modbus,PIT-B,OT,OT,critical,modbus,192.168.11.243,OT Engineering,behind_1_cycle,True
AST-0124,32,vend069,plc,WORKSHOP-01,IT-OT,OT,critical,modbus,192.168.14.13,OT Engineering,current,True
AST-0059,33,supe112,jump_host,PIT-B,OT,IT-OT,critical,rdp,192.168.11.30,IT Operations,behind_1_cycle,False
AST-0104,34,main029,sensor_modbus,TAILINGS-01,OT,OT,critical,modbus,192.168.13.129,OT Engineering,current,False
AST-0057,36,ot051,vpn_gateway,PIT-B,OT,IT-OT,critical,ipsec,192.168.11.249,IT Operations,current,False
AST-0065,40,cont001,hmi,PLANT-01,OT,OT,critical,http,192.168.12.166,OT Engineering,current,True
AST-0189,44,ot052,jump_host,PORT-WVB,IT,IT-OT,critical,rdp,192.168.17.112,IT Operations,current,False
AST-0161,50,"it059,it061",vpn_gateway,CAMP-01,IT,IT-OT,critical,ipsec,192.168.15.51,IT Operations,current,False
AST-0162,58,"it059,it061",jump_host,CAMP-01,IT,IT-OT,critical,rdp,192.168.15.47,IT Operations,behind_1_cycle,True
AST-0186,58,"cont081,ot052",vpn_gateway,PORT-WVB,IT,IT-OT,critical,ipsec,192.168.17.63,IT Operations,current,True
AST-0074,73,"cont001,ot054",sensor_modbus,PLANT-01,OT,OT,critical,modbus,192.168.12.152,OT Engineering,current,True
AST-0133,30,vend069,iiot_gateway,WORKSHOP-01,IT-OT,OT,high,mqtt,192.168.14.92,OT Engineering,behind_1_cycle,True
AST-0037,37,supe112,historian,PIT-B,OT,OT,high,sql,192.168.11.87,OT Engineering,behind_2_cycles,True
AST-0069,44,ot054,iiot_gateway,PLANT-01,OT,OT,high,mqtt,192.168.12.148,OT Engineering,current,True
AST-0190,7,cont081,laptop,PORT-WVB,IT,IT,medium,,192.168.17.82,IT Operations,current,False
AST-0194,15,cont081,workstation,PORT-WVB,IT,IT,medium,,192.168.17.24,IT Operations,current,True
AST-0192,22,ot052,workstation,PORT-WVB,IT,IT,medium,,192.168.17.52,IT Operations,behind_2_cycles,False
