username,alerts,rules,highest_sev,last_seen,evidence,max_risk,worst_day,band,top_driver,user_role,employment_type,home_site,privileged_account,mfa_enrolled,priority,attack_context
vend069,22,"R3,R4,R5,R7",high,2019-04-28 02:56:00+00:00,ACC018376|ACC018376|ACC018378|ACC018379|ACC018379|ACC018390|ACC018390|ACC018394|ACC018394|ACC018396|ACC018396|ACC019317|ACC019318|ACC019320|ACC019339|ACC020141|ACC020144|ACC020148|,98.1,2593.0,critical,external_foreign,vendor_technician,vendor,WORKSHOP-01,False,True,299.1,R3->M0936 Account Use Policies; R4->AN1935 Analytic 1935; R5->M0936 Account Use Policies; R7->DC0002 User Account Authentication
cont081,8,"R1,R4,R5,R6,R7",high,2019-04-29 04:02:00+00:00,ACC017623|ACC017625|ACC017626|ACC017623|ACC020951|ACC020951|ACC020952|ACC020952|ACC020959|ACC020959,90.9,757.0,critical,external_foreign,contractor_surveyor,contractor,PORT-WVB,False,True,179.9,R1->DC0002 User Account Authentication; R4->AN1935 Analytic 1935; R5->M0936 Account Use Policies; R6->M0935 Limit Access to Resource Over Network; R7->DC0002 User Account Authentication
main029,9,"R4,R5",medium,2019-04-24 02:37:28+00:00,ACC003546|ACC013192|ACC013198|ACC013205|ACC013251|ACC014073|ACC014074|ACC014078|ACC017621,75.6,1248.0,moderate,anomaly,maintenance_engineer,employee,TAILINGS-01,True,True,157.6,R4->AN1935 Analytic 1935; R5->M0936 Account Use Policies
supe112,6,"R1,R4,R5",medium,2019-04-24 02:32:38+00:00,ACC014123|ACC015691|ACC015692|ACC015694|ACC017609|ACC017610|ACC017611|ACC017609,96.0,2519.0,critical,priv_no_mfa,supervisor,employee,PIT-B,True,False,154.0,R1->DC0002 User Account Authentication; R4->AN1935 Analytic 1935; R5->M0936 Account Use Policies
ot054,8,"R4,R5",medium,2019-04-24 02:17:45+00:00,ACC000805|ACC003444|ACC003445|ACC003449|ACC006124|ACC006131|ACC008769|ACC017569,74.5,2196.0,moderate,anomaly,ot_network_admin,employee,PLANT-01,True,True,148.5,R4->AN1935 Analytic 1935; R5->M0936 Account Use Policies
ot051,5,"R3,R4,R5",high,2019-04-28 00:53:25+00:00,ACC006065|ACC011269|ACC020255|ACC020264|ACC020264|ACC020545,76.0,2098.0,high,anomaly,ot_network_admin,employee,PIT-B,True,True,141.0,R3->M0936 Account Use Policies; R4->AN1935 Analytic 1935; R5->M0936 Account Use Policies
cont001,7,R4,medium,2019-04-29 22:06:53+00:00,ACC002586|ACC007937|ACC008806|ACC017470|ACC017474|ACC020122|ACC021686,73.6,1.0,moderate,anomaly,control_room_operator,employee,PLANT-01,True,True,139.6,R4->AN1935 Analytic 1935
ot052,6,R4,medium,2019-04-16 21:03:26+00:00,ACC000841|ACC001738|ACC001739|ACC006980|ACC006985|ACC012138,76.9,2123.0,high,anomaly,ot_network_admin,employee,PORT-WVB,True,True,134.9,R4->AN1935 Analytic 1935
it059,5,R4,medium,2019-04-30 00:52:35+00:00,ACC000833|ACC004343|ACC018356|ACC020956|ACC021742,84.4,961.0,high,priv_no_mfa,it_service_desk,employee,CAMP-01,True,False,134.4,R4->AN1935 Analytic 1935
it061,5,"R4,R5",medium,2019-04-24 02:41:07+00:00,ACC005144|ACC008760|ACC014214|ACC017499|ACC017634,80.1,1006.0,high,anomaly,it_service_desk,employee,CAMP-01,True,True,130.1,R4->AN1935 Analytic 1935; R5->M0936 Account Use Policies
main042,2,"R3,R5",high,2019-04-24 03:09:10+00:00,ACC017556|ACC017635|ACC017645,88.9,1557.0,critical,external_foreign,maintenance_engineer,employee,TAILINGS-01,False,True,129.9,R3->M0936 Account Use Policies; R5->M0936 Account Use Policies
it066,6,R4,medium,2019-04-21 18:18:13+00:00,ACC013300|ACC013301|ACC013302|ACC013303|ACC013957|ACC015660,68.9,1126.0,moderate,anomaly,it_service_desk,employee,PORT-WVB,True,True,126.9,R4->AN1935 Analytic 1935
cont015,3,"R1,R4,R5",medium,2019-04-24 02:18:13+00:00,ACC002600|ACC017571|ACC017572|ACC017573|ACC017571,90.2,388.0,critical,priv_no_mfa,control_room_operator,employee,PIT-B,True,False,124.2,R1->DC0002 User Account Authentication; R4->AN1935 Analytic 1935; R5->M0936 Account Use Policies
supe106,4,"R4,R5",medium,2019-04-24 02:19:55+00:00,ACC004357|ACC008786|ACC017457|ACC017575,81.5,2373.0,high,anomaly,supervisor,employee,PLANT-01,True,True,123.5,R4->AN1935 Analytic 1935; R5->M0936 Account Use Policies
vend072,5,"R1,R4,R5",medium,2019-04-30 03:03:18+00:00,ACC007929|ACC015370|ACC017629|ACC017631|ACC017632|ACC017629|ACC021797,71.8,2666.0,moderate,anomaly,vendor_technician,vendor,TAILINGS-01,True,True,121.8,R1->DC0002 User Account Authentication; R4->AN1935 Analytic 1935; R5->M0936 Account Use Policies
main047,3,"R4,R5",medium,2019-04-26 22:41:07+00:00,ACC017591|ACC020079|ACC020081,85.8,1674.0,critical,anomaly,maintenance_engineer,employee,TAILINGS-01,True,True,119.8,R4->AN1935 Analytic 1935; R5->M0936 Account Use Policies
vend075,4,R4,medium,2019-04-25 23:12:28+00:00,ACC004388|ACC004396|ACC019230|ACC019242,77.0,2744.0,high,anomaly,vendor_technician,vendor,PIT-A,True,True,119.0,R4->AN1935 Analytic 1935
ot053,5,R4,medium,2019-04-18 22:59:41+00:00,ACC000796|ACC010446|ACC010451|ACC014058|ACC014062,67.8,2159.0,moderate,anomaly,ot_network_admin,employee,TAILINGS-01,True,True,117.8,R4->AN1935 Analytic 1935
cont021,2,"R1,R5",medium,2019-04-24 02:35:27+00:00,ACC017616|ACC017617|ACC017618|ACC017616,87.9,548.0,critical,external_foreign,control_room_operator,employee,PIT-B,False,True,113.9,R1->DC0002 User Account Authentication; R5->M0936 Account Use Policies
it068,3,R4,medium,2019-04-11 18:16:09+00:00,ACC008715|ACC008726|ACC008729,79.4,1165.0,high,priv_no_mfa,it_service_desk,employee,HQ-WHK,True,False,113.4,R4->AN1935 Analytic 1935
ot055,3,R4,medium,2019-04-29 20:04:20+00:00,ACC007989|ACC018318|ACC021648,78.3,2206.0,high,anomaly,ot_network_admin,employee,TAILINGS-01,True,True,112.3,R4->AN1935 Analytic 1935
main049,3,"R1,R4,R5",medium,2019-04-28 00:46:43+00:00,ACC017600|ACC017602|ACC017603|ACC017600|ACC020541,77.8,1723.0,high,anomaly,maintenance_engineer,employee,PIT-B,True,True,111.8,R1->DC0002 User Account Authentication; R4->AN1935 Analytic 1935; R5->M0936 Account Use Policies
vend076,3,"R1,R4,R5",medium,2019-04-24 02:15:36+00:00,ACC016618|ACC017560|ACC017561|ACC017562|ACC017560,77.5,2754.0,high,priv_no_mfa,vendor_technician,vendor,PLANT-01,True,False,111.5,R1->DC0002 User Account Authentication; R4->AN1935 Analytic 1935; R5->M0936 Account Use Policies
vend070,3,"R4,R5",medium,2019-04-24 02:19:34+00:00,ACC012177|ACC015749|ACC017574,77.3,2611.0,high,priv_no_mfa,vendor_technician,vendor,PIT-B,True,False,111.3,R4->AN1935 Analytic 1935; R5->M0936 Account Use Policies
cont080,2,"R1,R5",medium,2019-04-24 02:28:22+00:00,ACC017597|ACC017598|ACC017599|ACC017597,83.6,745.0,high,anomaly,contractor_surveyor,contractor,TAILINGS-01,False,False,109.6,R1->DC0002 User Account Authentication; R5->M0936 Account Use Policies
vend073,3,R4,medium,2019-04-06 03:29:09+00:00,ACC004391|ACC004393|ACC004394,73.5,2690.0,moderate,anomaly,vendor_technician,vendor,PIT-B,True,True,107.5,R4->AN1935 Analytic 1935
vend071,2,"R1,R5",medium,2019-04-24 02:17:04+00:00,ACC017565|ACC017566|ACC017568|ACC017565,78.8,2644.0,high,external_foreign,vendor_technician,vendor,TAILINGS-01,False,True,104.8,R1->DC0002 User Account Authentication; R5->M0936 Account Use Policies
main030,2,R4,medium,2019-04-19 20:12:50+00:00,ACC014912|ACC014915,78.6,1273.0,high,priv_no_mfa,maintenance_engineer,employee,WORKSHOP-01,True,False,104.6,R4->AN1935 Analytic 1935
main037,2,"R4,R5",medium,2019-04-24 02:26:59+00:00,ACC015690|ACC017593,78.0,1439.0,high,anomaly,maintenance_engineer,employee,TAILINGS-01,True,True,104.0,R4->AN1935 Analytic 1935; R5->M0936 Account Use Policies
ot056,3,R4,medium,2019-04-26 01:35:48+00:00,ACC002647|ACC012208|ACC019289,69.9,2238.0,moderate,anomaly,ot_network_admin,employee,WORKSHOP-01,True,True,103.9,R4->AN1935 Analytic 1935
cont026,2,"R1,R5",medium,2019-04-24 02:21:57+00:00,ACC017580|ACC017581|ACC017582|ACC017580,76.6,678.0,high,external_foreign,control_room_operator,employee,PIT-A,False,True,102.6,R1->DC0002 User Account Authentication; R5->M0936 Account Use Policies
