ticket_id,category,ips_found,assets_found,users_found,sites_found,protos_found,malwares_found,n_indicators,gt_entities
TKT00023,access_request,,,mine102,PIT-A,,,2,site=PIT-A|target=fleet management portal|user=mine102
TKT00132,security_incident,112.238.161.97,AST-0120,it064,,,,3,asset=AST-0120|ip=112.238.161.97|target=PLC engineering workstation|user=it064
TKT00297,mechanical,,,,PIT-A,,,1,site=PIT-A
TKT00213,mechanical,,,,WORKSHOP-01,,,1,site=WORKSHOP-01
TKT00245,security_incident,,,it067,,,,1,target=maintenance portal|user=it067
TKT00198,mechanical,,,,PORT-WVB,,,1,site=PORT-WVB
TKT00019,access_request,,AST-0125,cont021,,,,2,asset=AST-0125|user=cont021
TKT00152,instrumentation,,AST-0182,,PORT-WVB,,,2,asset=AST-0182|site=PORT-WVB
TKT00086,network_fault,,AST-0162,,PORT-WVB,,,2,asset=AST-0162|site=PORT-WVB
TKT00227,access_request,,,cont014,PORT-WVB,,,2,site=PORT-WVB|target=SCADA HMI|user=cont014
TKT00166,network_fault,,AST-0193,,PIT-B,DNP3,,3,asset=AST-0193|proto=DNP3|site=PIT-B
TKT00295,access_request,,AST-0151,it068,,,,2,asset=AST-0151|user=it068
TKT00113,security_incident,176.95.169.85,AST-0087,mine103,,,,3,asset=AST-0087|ip=176.95.169.85|target=maintenance portal|user=mine103
TKT00138,access_request,,AST-0145,,,DNP3,,2,asset=AST-0145|proto=DNP3
TKT00319,security_incident,,,,TAILINGS-01,,,1,malware=Emotet|site=TAILINGS-01
TKT00252,security_incident,,,,HQ-WHK,,TRITON,2,malware=TRITON|site=HQ-WHK
TKT00263,network_fault,,AST-0070,,,HTTPS,,2,asset=AST-0070|proto=HTTPS
TKT00149,mechanical,,AST-0037,,WORKSHOP-01,,,2,asset=AST-0037|site=WORKSHOP-01
TKT00312,access_request,,,cont017,PIT-B,,,2,site=PIT-B|user=cont017
TKT00258,network_fault,,AST-0194,,PIT-A,,,2,asset=AST-0194|site=PIT-A
TKT00190,security_incident,16.106.30.229,AST-0087,cont085,,,,3,asset=AST-0087|ip=16.106.30.229|target=SCADA HMI|user=cont085
TKT00223,network_fault,,AST-0182,,PORT-WVB,SNMP,,3,asset=AST-0182|proto=SNMP|site=PORT-WVB
TKT00273,instrumentation,,AST-0123,,,,,1,asset=AST-0123
TKT00270,security_incident,73.77.109.193,,mine090,TAILINGS-01,,,3,ip=73.77.109.193|site=TAILINGS-01|user=mine090
TKT00318,instrumentation,,AST-0035,,TAILINGS-01,,,2,asset=AST-0035|site=TAILINGS-01
TKT00047,mechanical,,AST-0105,,PIT-B,,,2,asset=AST-0105|site=PIT-B
TKT00099,network_fault,,AST-0127,,,Modbus/TCP,,2,asset=AST-0127|proto=Modbus/TCP
TKT00153,security_incident,,,,CAMP-01,,BlackEnergy,2,malware=BlackEnergy|site=CAMP-01
TKT00300,access_request,,,mine102,CAMP-01,,,2,site=CAMP-01|target=historian|user=mine102
TKT00172,mechanical,,,,PIT-A,,,1,site=PIT-A
TKT00299,mechanical,,,,PIT-B,,,1,site=PIT-B
TKT00286,security_incident,,,,CAMP-01,,TRITON,2,malware=TRITON|site=CAMP-01
TKT00135,security_incident,74.120.21.109,,cont018,PLANT-01,,,3,ip=74.120.21.109|site=PLANT-01|user=cont018
TKT00281,instrumentation,,AST-0188,,CAMP-01,,,2,asset=AST-0188|site=CAMP-01
TKT00230,instrumentation,,,,PLANT-01,,,1,site=PLANT-01
TKT00012,instrumentation,,,,PIT-A,,,1,site=PIT-A
TKT00016,instrumentation,,,,PIT-A,,,1,site=PIT-A
TKT00187,security_incident,89.174.155.128,AST-0183,,CAMP-01,RDP,,4,asset=AST-0183|ip=89.174.155.128|proto=RDP|site=CAMP-01
TKT00089,instrumentation,,AST-0108,,PLANT-01,,,2,asset=AST-0108|site=PLANT-01
TKT00095,security_incident,167.43.9.72,AST-0087,,PIT-A,RDP,,4,asset=AST-0087|ip=167.43.9.72|proto=RDP|site=PIT-A
TKT00147,security_incident,210.130.243.104,,supe109,CAMP-01,,,3,ip=210.130.243.104|site=CAMP-01|user=supe109
TKT00241,network_fault,134.181.211.169,,,PIT-A,,,2,ip=134.181.211.169|site=PIT-A
TKT00310,instrumentation,,,,PIT-B,,,1,site=PIT-B
TKT00266,instrumentation,,AST-0094,,HQ-WHK,,,2,asset=AST-0094|site=HQ-WHK
TKT00285,network_fault,,AST-0022,,PLANT-01,DNP3,,3,asset=AST-0022|proto=DNP3|site=PLANT-01
TKT00036,instrumentation,,,,WORKSHOP-01,,,1,site=WORKSHOP-01
TKT00115,access_request,,AST-0166,main049,,,,2,asset=AST-0166|user=main049
TKT00228,access_request,,,it067,TAILINGS-01,,,2,site=TAILINGS-01|user=it067
TKT00220,access_request,,AST-0123,,,RDP,,2,asset=AST-0123|proto=RDP
TKT00201,instrumentation,,AST-0074,,,,,1,asset=AST-0074
TKT00028,security_incident,,,cont026,,,,1,target=PLC engineering workstation|user=cont026
TKT00146,mechanical,,,,TAILINGS-01,,,1,site=TAILINGS-01
TKT00260,mechanical,,,,PIT-B,,,1,site=PIT-B
TKT00242,mechanical,,,,PIT-A,,,1,site=PIT-A
TKT00051,mechanical,,,,PIT-A,,,1,site=PIT-A
TKT00211,security_incident,200.245.187.32,AST-0157,main046,,,,3,asset=AST-0157|ip=200.245.187.32|target=fleet management portal|user=main046
TKT00125,mechanical,,,,PORT-WVB,,,1,site=PORT-WVB
TKT00283,mechanical,,,,PIT-A,,,1,site=PIT-A
TKT00248,security_incident,19.223.134.21,AST-0088,,CAMP-01,RDP,,4,asset=AST-0088|ip=19.223.134.21|proto=RDP|site=CAMP-01
TKT00058,network_fault,,AST-0115,,TAILINGS-01,HTTPS,,3,asset=AST-0115|proto=HTTPS|site=TAILINGS-01
TKT00256,security_incident,145.43.107.60,AST-0144,mine093,,,,3,asset=AST-0144|ip=145.43.107.60|target=fleet management portal|user=mine093
TKT00144,instrumentation,,AST-0095,,TAILINGS-01,,,2,asset=AST-0095|site=TAILINGS-01
TKT00234,security_incident,,,main040,,,,1,target=PLC engineering workstation|user=main040
TKT00075,mechanical,,,,WORKSHOP-01,,,1,site=WORKSHOP-01
TKT00203,instrumentation,,AST-0003,,PIT-A,,,2,asset=AST-0003|site=PIT-A
TKT00218,network_fault,,AST-0136,,HQ-WHK,Modbus/TCP,,3,asset=AST-0136|proto=Modbus/TCP|site=HQ-WHK
TKT00280,instrumentation,,AST-0006,,,,,1,asset=AST-0006
TKT00154,access_request,,,cont017,PORT-WVB,,,2,site=PORT-WVB|user=cont017
TKT00067,security_incident,,,,PIT-A,,TRITON,2,malware=TRITON|site=PIT-A
TKT00062,network_fault,105.162.156.156,,,HQ-WHK,,,2,ip=105.162.156.156|site=HQ-WHK
TKT00275,mechanical,,,,PORT-WVB,,,1,site=PORT-WVB
TKT00170,mechanical,,,,WORKSHOP-01,,,1,site=WORKSHOP-01
TKT00208,network_fault,,AST-0077,,TAILINGS-01,MQTT,,3,asset=AST-0077|proto=MQTT|site=TAILINGS-01
TKT00224,instrumentation,,AST-0121,,,Modbus,,2,asset=AST-0121
TKT00195,access_request,,,supe108,PIT-B,,,2,site=PIT-B|user=supe108
TKT00314,mechanical,,,,PLANT-01,,,1,site=PLANT-01
TKT00126,security_incident,,,,PIT-B,,Conficker,2,malware=Conficker|site=PIT-B
TKT00148,network_fault,137.163.5.41,,,PIT-B,,,2,ip=137.163.5.41|site=PIT-B
TKT00215,instrumentation,,AST-0150,,,,,1,asset=AST-0150
TKT00174,access_request,,,main028,PIT-A,,,2,site=PIT-A|user=main028
TKT00118,security_incident,211.228.88.171,AST-0135,main043,,,,3,asset=AST-0135|ip=211.228.88.171|target=SCADA HMI|user=main043
TKT00102,access_request,,AST-0161,cont086,,,,2,asset=AST-0161|user=cont086
TKT00079,mechanical,,,,HQ-WHK,,,1,site=HQ-WHK
TKT00246,access_request,,AST-0108,main038,,,,2,asset=AST-0108|user=main038
TKT00178,access_request,,,supe114,CAMP-01,,,2,site=CAMP-01|user=supe114
TKT00020,access_request,,AST-0172,cont017,,,,2,asset=AST-0172|user=cont017
TKT00276,network_fault,,AST-0065,,,MQTT,,2,asset=AST-0065|proto=MQTT
TKT00191,network_fault,,AST-0037,,WORKSHOP-01,,,2,asset=AST-0037|site=WORKSHOP-01
TKT00117,instrumentation,,,,WORKSHOP-01,,,1,site=WORKSHOP-01
TKT00024,security_incident,58.213.148.79,,it059,CAMP-01,,,3,ip=58.213.148.79|site=CAMP-01|user=it059
TKT00091,security_incident,91.157.36.23,AST-0131,supe108,,,,3,asset=AST-0131|ip=91.157.36.23|target=CCTV recorder|user=supe108
TKT00229,instrumentation,,AST-0014,,,Modbus,,2,asset=AST-0014
TKT00133,mechanical,,,,TAILINGS-01,,,1,site=TAILINGS-01
TKT00277,access_request,,AST-0100,,,SNMP,,2,asset=AST-0100|proto=SNMP
TKT00094,instrumentation,,,,WORKSHOP-01,,,1,site=WORKSHOP-01
TKT00021,security_incident,30.166.48.145,AST-0130,,CAMP-01,SSH,,4,asset=AST-0130|ip=30.166.48.145|proto=SSH|site=CAMP-01
TKT00049,network_fault,,AST-0068,,,Modbus/TCP,,2,asset=AST-0068|proto=Modbus/TCP
TKT00238,instrumentation,,AST-0182,,,Modbus,,2,asset=AST-0182
TKT00171,mechanical,,,,WORKSHOP-01,,,1,site=WORKSHOP-01
TKT00010,security_incident,196.6.242.219,AST-0011,,HQ-WHK,SNMP,,4,asset=AST-0011|ip=196.6.242.219|proto=SNMP|site=HQ-WHK
TKT00202,instrumentation,,AST-0176,,,Modbus,,2,asset=AST-0176
TKT00288,mechanical,,,,TAILINGS-01,,,1,site=TAILINGS-01
TKT00073,instrumentation,,AST-0092,,,Modbus,,2,asset=AST-0092
TKT00282,mechanical,,,,TAILINGS-01,,,1,site=TAILINGS-01
TKT00046,network_fault,,AST-0005,,PLANT-01,,,2,asset=AST-0005|site=PLANT-01
TKT00059,instrumentation,,AST-0110,,CAMP-01,,,2,asset=AST-0110|site=CAMP-01
TKT00114,network_fault,192.95.17.145,,,CAMP-01,,,2,ip=192.95.17.145|site=CAMP-01
TKT00009,access_request,,,main049,WORKSHOP-01,,,2,site=WORKSHOP-01|user=main049
TKT00168,instrumentation,,AST-0111,,,Modbus,,2,asset=AST-0111
TKT00226,security_incident,156.235.207.197,,cont024,PIT-B,,,3,ip=156.235.207.197|site=PIT-B|user=cont024
TKT00290,mechanical,,,,CAMP-01,,,1,site=CAMP-01
TKT00084,access_request,,AST-0147,main046,,,,2,asset=AST-0147|user=main046
TKT00304,access_request,,,cont086,PLANT-01,,,2,site=PLANT-01|user=cont086
TKT00284,access_request,,AST-0079,,,SSH,,2,asset=AST-0079|proto=SSH
TKT00219,mechanical,,,,WORKSHOP-01,,,1,site=WORKSHOP-01
TKT00031,mechanical,,,,CAMP-01,,,1,site=CAMP-01
TKT00237,network_fault,,AST-0154,,,RDP,,2,asset=AST-0154|proto=RDP
TKT00017,instrumentation,,AST-0176,,,,,1,asset=AST-0176
TKT00077,access_request,,AST-0007,,,SSH,,2,asset=AST-0007|proto=SSH
TKT00026,mechanical,,,,HQ-WHK,,,1,site=HQ-WHK
TKT00291,access_request,,AST-0022,,,HTTPS,,2,asset=AST-0022|proto=HTTPS
TKT00001,instrumentation,,AST-0184,,,Modbus,,2,asset=AST-0184
TKT00217,access_request,,AST-0145,mine091,,,,2,asset=AST-0145|user=mine091
TKT00034,mechanical,,,,PIT-B,,,1,site=PIT-B
TKT00269,network_fault,28.84.225.118,,,CAMP-01,,,2,ip=28.84.225.118|site=CAMP-01
TKT00307,mechanical,,,,HQ-WHK,,,1,site=HQ-WHK
TKT00289,network_fault,,AST-0170,,PIT-B,,,2,asset=AST-0170|site=PIT-B
TKT00315,instrumentation,,AST-0089,,,Modbus,,2,asset=AST-0089
TKT00188,access_request,,AST-0022,mine093,,,,2,asset=AST-0022|user=mine093
TKT00014,mechanical,,,,PORT-WVB,,,1,site=PORT-WVB
TKT00235,mechanical,,,,HQ-WHK,,,1,site=HQ-WHK
TKT00204,network_fault,,AST-0115,,CAMP-01,RDP,,3,asset=AST-0115|proto=RDP|site=CAMP-01
TKT00072,network_fault,,AST-0021,,PLANT-01,,,2,asset=AST-0021|site=PLANT-01
TKT00184,network_fault,,AST-0138,,HQ-WHK,,,2,asset=AST-0138|site=HQ-WHK
TKT00124,access_request,,,supe107,TAILINGS-01,,,2,site=TAILINGS-01|target=CCTV recorder|user=supe107
TKT00250,access_request,,,cont089,PIT-B,,,2,site=PIT-B|user=cont089
TKT00225,access_request,,AST-0045,,,MQTT,,2,asset=AST-0045|proto=MQTT
TKT00069,security_incident,124.69.186.228,AST-0089,it063,,,,3,asset=AST-0089|ip=124.69.186.228|target=maintenance portal|user=it063
TKT00303,security_incident,216.116.135.112,AST-0193,mine099,,,,3,asset=AST-0193|ip=216.116.135.112|target=historian|user=mine099
TKT00177,network_fault,12.223.75.118,,,PIT-A,,,2,ip=12.223.75.118|site=PIT-A
TKT00261,mechanical,,,,TAILINGS-01,,,1,site=TAILINGS-01
TKT00071,access_request,,,mine102,WORKSHOP-01,,,2,site=WORKSHOP-01|user=mine102
TKT00092,instrumentation,,,,TAILINGS-01,,,1,site=TAILINGS-01
TKT00306,mechanical,,,,HQ-WHK,,,1,site=HQ-WHK
TKT00196,instrumentation,,AST-0111,,CAMP-01,,,2,asset=AST-0111|site=CAMP-01
TKT00107,access_request,,,mine102,CAMP-01,,,2,site=CAMP-01|target=SCADA HMI|user=mine102
TKT00244,network_fault,,AST-0162,,,HTTPS,,2,asset=AST-0162|proto=HTTPS
TKT00141,network_fault,,AST-0155,,,DNP3,,2,asset=AST-0155|proto=DNP3
TKT00081,access_request,,,main044,PLANT-01,,,2,site=PLANT-01|user=main044
TKT00298,instrumentation,,AST-0090,,,Modbus,,2,asset=AST-0090
TKT00320,mechanical,,,,PIT-A,,,1,site=PIT-A
TKT00156,instrumentation,,AST-0132,,,Modbus,,2,asset=AST-0132
TKT00002,instrumentation,,,,HQ-WHK,,,1,site=HQ-WHK
TKT00279,network_fault,,AST-0032,,,SNMP,,2,asset=AST-0032|proto=SNMP
TKT00112,mechanical,,,,PIT-B,,,1,site=PIT-B
TKT00120,security_incident,153.38.101.96,AST-0135,,PORT-WVB,DNP3,,4,asset=AST-0135|ip=153.38.101.96|proto=DNP3|site=PORT-WVB
TKT00096,network_fault,,AST-0010,,PIT-B,,,2,asset=AST-0010|site=PIT-B
TKT00173,network_fault,,AST-0107,,,DNP3,,2,asset=AST-0107|proto=DNP3
TKT00105,mechanical,,AST-0031,,HQ-WHK,,,2,asset=AST-0031|site=HQ-WHK
TKT00257,access_request,,AST-0099,,,RDP,,2,asset=AST-0099|proto=RDP
TKT00004,security_incident,106.185.37.199,AST-0138,,PLANT-01,MQTT,,4,asset=AST-0138|ip=106.185.37.199|proto=MQTT|site=PLANT-01
TKT00176,instrumentation,,,,PLANT-01,,,1,site=PLANT-01
TKT00066,security_incident,59.49.201.143,,supe113,PIT-B,,,3,ip=59.49.201.143|site=PIT-B|user=supe113
TKT00160,security_incident,71.240.139.15,,ot053,CAMP-01,,,3,ip=71.240.139.15|site=CAMP-01|user=ot053
TKT00011,security_incident,137.196.215.105,AST-0017,cont015,,,,3,asset=AST-0017|ip=137.196.215.105|target=fleet management portal|user=cont015
TKT00151,mechanical,,AST-0131,,PLANT-01,,,2,asset=AST-0131|site=PLANT-01
TKT00005,network_fault,,AST-0118,,,HTTPS,,2,asset=AST-0118|proto=HTTPS
TKT00052,security_incident,,,,HQ-WHK,,Conficker,2,malware=Conficker|site=HQ-WHK
TKT00045,mechanical,,AST-0170,,HQ-WHK,,,2,asset=AST-0170|site=HQ-WHK
TKT00041,instrumentation,,,,WORKSHOP-01,,,1,site=WORKSHOP-01
TKT00209,instrumentation,,AST-0184,,,Modbus,,2,asset=AST-0184
TKT00316,security_incident,,,main046,,,,1,target=historian|user=main046
TKT00214,access_request,,AST-0015,mine099,,,,2,asset=AST-0015|user=mine099
TKT00008,network_fault,57.31.202.46,,,CAMP-01,,,2,ip=57.31.202.46|site=CAMP-01
TKT00212,access_request,,,it062,PIT-B,,,2,site=PIT-B|target=historian|user=it062
