ticket_id,category,ticket_text,nearest_attack_id,nearest_attack_name,nearest_attack_class,similarity
TKT00310,instrumentation,GPS tracker on the PIT-B light vehicle fleet dropping position fixes; firmware update pending.,AN1934,Analytic 1934,analytic,0.522
TKT00016,instrumentation,GPS tracker on the PIT-A light vehicle fleet dropping position fixes; firmware update pending.,AN1934,Analytic 1934,analytic,0.522
TKT00012,instrumentation,GPS tracker on the PIT-A light vehicle fleet dropping position fixes; firmware update pending.,AN1934,Analytic 1934,analytic,0.522
TKT00002,instrumentation,GPS tracker on the HQ-WHK light vehicle fleet dropping position fixes; firmware update pending.,AN1934,Analytic 1934,analytic,0.522
TKT00182,instrumentation,GPS tracker on the HQ-WHK light vehicle fleet dropping position fixes; firmware update pending.,AN1934,Analytic 1934,analytic,0.522
TKT00006,instrumentation,GPS tracker on the HQ-WHK light vehicle fleet dropping position fixes; firmware update pending.,AN1934,Analytic 1934,analytic,0.522
TKT00192,instrumentation,GPS tracker on the PIT-A light vehicle fleet dropping position fixes; firmware update pending.,AN1934,Analytic 1934,analytic,0.522
TKT00249,instrumentation,GPS tracker on the HQ-WHK light vehicle fleet dropping position fixes; firmware update pending.,AN1934,Analytic 1934,analytic,0.522
TKT00216,instrumentation,GPS tracker on the PIT-A light vehicle fleet dropping position fixes; firmware update pending.,AN1934,Analytic 1934,analytic,0.522
TKT00039,instrumentation,GPS tracker on the WORKSHOP-01 light vehicle fleet dropping position fixes; firmware update pending.,AN1934,Analytic 1934,analytic,0.43
TKT00094,instrumentation,GPS tracker on the WORKSHOP-01 light vehicle fleet dropping position fixes; firmware update pending.,AN1934,Analytic 1934,analytic,0.43
TKT00076,instrumentation,GPS tracker on the TAILINGS-01 light vehicle fleet dropping position fixes; firmware update pending.,AN1934,Analytic 1934,analytic,0.43
TKT00231,instrumentation,GPS tracker on the TAILINGS-01 light vehicle fleet dropping position fixes; firmware update pending.,AN1934,Analytic 1934,analytic,0.43
TKT00117,instrumentation,GPS tracker on the WORKSHOP-01 light vehicle fleet dropping position fixes; firmware update pending.,AN1934,Analytic 1934,analytic,0.43
TKT00036,instrumentation,GPS tracker on the WORKSHOP-01 light vehicle fleet dropping position fixes; firmware update pending.,AN1934,Analytic 1934,analytic,0.43
TKT00041,instrumentation,GPS tracker on the WORKSHOP-01 light vehicle fleet dropping position fixes; firmware update pending.,AN1934,Analytic 1934,analytic,0.43
TKT00169,instrumentation,GPS tracker on the TAILINGS-01 light vehicle fleet dropping position fixes; firmware update pending.,AN1934,Analytic 1934,analytic,0.43
TKT00092,instrumentation,GPS tracker on the TAILINGS-01 light vehicle fleet dropping position fixes; firmware update pending.,AN1934,Analytic 1934,analytic,0.43
TKT00176,instrumentation,GPS tracker on the PLANT-01 light vehicle fleet dropping position fixes; firmware update pending.,AN1934,Analytic 1934,analytic,0.381
TKT00230,instrumentation,GPS tracker on the PLANT-01 light vehicle fleet dropping position fixes; firmware update pending.,AN1934,Analytic 1934,analytic,0.381
TKT00221,instrumentation,Thermostat on AST-0069 drifting by several degrees against the reference probe. Scheduled for recalibration.,DC0005,Scheduled Job Metadata,data_component,0.369
TKT00280,instrumentation,Thermostat on AST-0006 drifting by several degrees against the reference probe. Scheduled for recalibration.,DC0005,Scheduled Job Metadata,data_component,0.369
TKT00017,instrumentation,Thermostat on AST-0176 drifting by several degrees against the reference probe. Scheduled for recalibration.,DC0005,Scheduled Job Metadata,data_component,0.369
TKT00215,instrumentation,Thermostat on AST-0150 drifting by several degrees against the reference probe. Scheduled for recalibration.,DC0005,Scheduled Job Metadata,data_component,0.369
TKT00163,instrumentation,Thermostat on AST-0100 drifting by several degrees against the reference probe. Scheduled for recalibration.,DC0005,Scheduled Job Metadata,data_component,0.369
TKT00292,instrumentation,Thermostat on AST-0140 drifting by several degrees against the reference probe. Scheduled for recalibration.,DC0005,Scheduled Job Metadata,data_component,0.369
TKT00139,instrumentation,Thermostat on AST-0161 drifting by several degrees against the reference probe. Scheduled for recalibration.,DC0005,Scheduled Job Metadata,data_component,0.369
TKT00054,instrumentation,Thermostat on AST-0114 drifting by several degrees against the reference probe. Scheduled for recalibration.,DC0005,Scheduled Job Metadata,data_component,0.369
TKT00201,instrumentation,Thermostat on AST-0074 drifting by several degrees against the reference probe. Scheduled for recalibration.,DC0005,Scheduled Job Metadata,data_component,0.369
TKT00040,instrumentation,Thermostat on AST-0043 drifting by several degrees against the reference probe. Scheduled for recalibration.,DC0005,Scheduled Job Metadata,data_component,0.369
TKT00273,instrumentation,Thermostat on AST-0123 drifting by several degrees against the reference probe. Scheduled for recalibration.,DC0005,Scheduled Job Metadata,data_component,0.369
TKT00027,instrumentation,Thermostat on AST-0071 drifting by several degrees against the reference probe. Scheduled for recalibration.,DC0005,Scheduled Job Metadata,data_component,0.369
TKT00239,network_fault,Intermittent link loss between the PORT-WVB radio bridge and the core switch. Modbus/TCP sessions from AST-0090 time out during the fault window.,T0885,Commonly Used Port,technique,0.337
TKT00052,security_incident,Antivirus on the engineering workstation flagged Conficker after a contractor connected a USB drive at HQ-WHK. Machine isolated from the OT network for imaging.,DC0042,Drive Creation,data_component,0.336
TKT00126,security_incident,Antivirus on the engineering workstation flagged Conficker after a contractor connected a USB drive at PIT-B. Machine isolated from the OT network for imaging.,DC0042,Drive Creation,data_component,0.336
TKT00030,security_incident,Antivirus on the engineering workstation flagged Emotet after a contractor connected a USB drive at HQ-WHK. Machine isolated from the OT network for imaging.,DC0042,Drive Creation,data_component,0.336
TKT00159,access_request,Request to open Modbus/TCP from the vendor network to AST-0165 for diagnostics. Security review required before the rule is added.,T0885,Commonly Used Port,technique,0.326
TKT00063,security_incident,Antivirus on the engineering workstation flagged Conficker after a contractor connected a USB drive at WORKSHOP-01. Machine isolated from the OT network for imaging.,DC0042,Drive Creation,data_component,0.311
TKT00035,security_incident,Antivirus on the engineering workstation flagged Industroyer after a contractor connected a USB drive at PIT-A. Machine isolated from the OT network for imaging.,DC0042,Drive Creation,data_component,0.311
