username,role,employment_type,day,risk_score,risk_band,top_driver,recommended_action,failures,out_of_hours,priv_no_mfa,foreign,bytes_out,iso_score,gt,comp_failures,comp_out_of_hours,comp_external_foreign,comp_priv_no_mfa,comp_anomaly,comp_egress
vend069,vendor_technician,vendor,2019-04-25,98.1,critical,anomaly,Investigate now; consider suspending the account,1,8,4.0,5,56598662,0.7558089752105122,GT2_vendor_out_of_hours,92.1,94.0,99.9,99.6,100.0,100.0
supe112,supervisor,employee,2019-04-24,96.0,critical,anomaly,Investigate now; consider suspending the account,4,5,3.0,3,18928693,0.7481662227724241,GT1_password_spray,100.0,82.0,99.6,99.1,99.9,87.1
cont081,contractor_surveyor,contractor,2019-04-29,90.9,critical,external_foreign,Investigate now; consider suspending the account,0,11,2.0,7,240784366,0.7228480327053981,GT3_dormant_account,43.2,98.0,100.0,98.5,99.6,100.0
vend069,vendor_technician,vendor,2019-04-28,90.3,critical,external_foreign,Investigate now; consider suspending the account,0,7,4.0,5,39351134,0.7167697930237166,GT2_vendor_out_of_hours,43.2,91.1,99.9,99.6,99.4,99.4
cont015,control_room_operator,employee,2019-04-24,90.2,critical,anomaly,Investigate now; consider suspending the account,3,8,1.0,3,6442021,0.7426909617149431,GT1_password_spray,99.7,94.0,99.6,97.2,99.9,43.6
vend069,vendor_technician,vendor,2019-04-26,89.4,critical,external_foreign,Investigate now; consider suspending the account,0,5,4.0,5,40771399,0.7183657066077206,GT2_vendor_out_of_hours,43.2,82.0,99.9,99.6,99.6,99.5
vend069,vendor_technician,vendor,2019-04-27,89.3,critical,external_foreign,Investigate now; consider suspending the account,0,5,4.0,5,47315192,0.6835045718548909,GT2_vendor_out_of_hours,43.2,82.0,99.9,99.6,98.9,99.8
cont006,control_room_operator,employee,2019-04-24,89.2,critical,anomaly,Investigate now; consider suspending the account,2,13,0.0,3,55140251,0.7631064847575848,GT1_password_spray,98.7,98.9,99.6,48.1,100.0,99.9
main042,maintenance_engineer,employee,2019-04-24,88.9,critical,anomaly,Investigate now; consider suspending the account,2,9,0.0,3,50310783,0.743549880112492,GT1_password_spray,98.7,96.0,99.6,48.1,99.9,99.9
cont015,control_room_operator,employee,2019-04-09,88.4,critical,anomaly,Investigate now; consider suspending the account,2,12,3.0,0,25546171,0.7079813320995777,,98.7,98.5,49.2,99.1,99.3,94.9
cont021,control_room_operator,employee,2019-04-24,87.9,critical,anomaly,Investigate now; consider suspending the account,3,9,0.0,3,23075958,0.7352098349169295,GT1_password_spray,99.7,96.0,99.6,48.1,99.8,92.5
cont015,control_room_operator,employee,2019-04-12,87.3,critical,priv_no_mfa,Investigate now; consider suspending the account,1,15,4.0,0,23676286,0.6836033730338494,,92.1,99.6,49.2,99.6,98.9,93.3
main047,maintenance_engineer,employee,2019-04-24,85.8,critical,anomaly,Investigate now; consider suspending the account,2,7,0.0,2,17221351,0.7084949618032412,GT1_password_spray,98.7,91.1,99.1,48.1,99.3,83.8
cont008,control_room_operator,employee,2019-04-24,85.4,critical,anomaly,Investigate now; consider suspending the account,2,8,0.0,2,15043855,0.703664778562268,GT1_password_spray,98.7,94.0,99.1,48.1,99.2,79.0
cont015,control_room_operator,employee,2019-04-03,85.4,critical,priv_no_mfa,Investigate now; consider suspending the account,1,7,3.0,0,20883133,0.5858992955227326,,92.1,91.1,49.2,99.1,96.3,89.9
cont015,control_room_operator,employee,2019-04-05,85.2,high,priv_no_mfa,Investigate within the shift; verify with the account owner,1,10,1.0,0,19157270,0.586587165346694,,92.1,97.2,49.2,97.2,96.5,87.5
it059,it_service_desk,employee,2019-04-29,84.4,high,priv_no_mfa,Investigate within the shift; verify with the account owner,1,7,3.0,0,17276565,0.5816684699657082,,92.1,91.1,49.2,99.1,96.0,84.0
main038,maintenance_engineer,employee,2019-04-24,84.3,high,anomaly,Investigate within the shift; verify with the account owner,2,6,0.0,2,13915129,0.7113050005955048,GT1_password_spray,98.7,87.3,99.1,48.1,99.4,75.9
cont014,control_room_operator,employee,2019-04-24,84.1,high,external_foreign,Investigate within the shift; verify with the account owner,1,13,0.0,1,13974786,0.6446006036118166,GT1_password_spray,92.1,98.9,98.7,48.1,98.2,76.1
cont080,contractor_surveyor,contractor,2019-04-24,83.6,high,anomaly,Investigate within the shift; verify with the account owner,3,7,0.0,3,11414219,0.7376912452274376,GT1_password_spray,99.7,91.1,99.6,48.1,99.8,67.0
main028,maintenance_engineer,employee,2019-04-24,83.0,high,external_foreign,Investigate within the shift; verify with the account owner,1,5,0.0,1,15382026,0.6278835741810672,GT1_password_spray,92.1,82.0,98.7,48.1,97.9,80.0
cont015,control_room_operator,employee,2019-04-28,83.0,high,priv_no_mfa,Investigate within the shift; verify with the account owner,1,1,5.0,0,29706205,0.664498967420852,,92.1,50.8,49.2,99.9,98.6,97.1
supe106,supervisor,employee,2019-04-24,81.5,high,external_foreign,Investigate within the shift; verify with the account owner,2,5,0.0,1,10303494,0.657467434652262,GT1_password_spray,98.7,82.0,98.7,48.1,98.5,62.6
cont083,contractor_surveyor,contractor,2019-04-24,81.5,high,external_foreign,Investigate within the shift; verify with the account owner,1,4,0.0,1,13551941,0.6287188444775265,GT1_password_spray,92.1,75.0,98.7,48.1,98.0,74.9
it061,it_service_desk,employee,2019-04-24,80.1,high,external_foreign,Investigate within the shift; verify with the account owner,1,3,0.0,1,13075363,0.5863108517592486,GT1_password_spray,92.1,66.4,98.7,48.1,96.3,73.1
cont015,control_room_operator,employee,2019-04-25,79.7,high,priv_no_mfa,Investigate within the shift; verify with the account owner,0,12,3.0,0,24909149,0.6094892838956195,,43.2,98.5,49.2,99.1,97.6,94.4
it068,it_service_desk,employee,2019-04-10,79.4,high,priv_no_mfa,Investigate within the shift; verify with the account owner,0,7,2.0,0,31637942,0.6205212795228733,,43.2,91.1,49.2,98.5,97.8,98.0
main032,maintenance_engineer,employee,2019-04-24,79.4,high,external_foreign,Investigate within the shift; verify with the account owner,2,2,0.0,2,10597011,0.6954546093174148,GT1_password_spray,98.7,57.6,99.1,48.1,99.1,63.6
it063,it_service_desk,employee,2019-04-24,79.4,high,external_foreign,Investigate within the shift; verify with the account owner,1,1,0.0,1,14834561,0.5983713809398817,GT1_password_spray,92.1,50.8,98.7,48.1,97.0,78.5
vend071,vendor_technician,vendor,2019-04-24,78.8,high,anomaly,Investigate within the shift; verify with the account owner,3,5,0.0,3,5841709,0.7300998603028745,GT1_password_spray,99.7,82.0,99.6,48.1,99.7,40.7
ot058,ot_network_admin,employee,2019-04-24,78.7,high,external_foreign,Investigate within the shift; verify with the account owner,2,4,0.0,1,7434318,0.6656130103109733,GT1_password_spray,98.7,75.0,98.7,48.1,98.7,48.9
main030,maintenance_engineer,employee,2019-04-25,78.6,high,priv_no_mfa,Investigate within the shift; verify with the account owner,1,3,1.0,0,13137495,0.5153902042248328,,92.1,66.4,49.2,97.2,89.5,73.2
supe112,supervisor,employee,2019-04-19,78.4,high,priv_no_mfa,Investigate within the shift; verify with the account owner,0,6,4.0,0,25037939,0.5845070916746069,,43.2,87.3,49.2,99.6,96.2,94.6
ot055,ot_network_admin,employee,2019-04-11,78.3,high,anomaly,Investigate within the shift; verify with the account owner,2,11,0.0,0,29001037,0.6743025050976743,,98.7,98.0,49.2,48.1,98.8,96.6
it068,it_service_desk,employee,2019-04-11,78.2,high,priv_no_mfa,Investigate within the shift; verify with the account owner,0,8,4.0,0,20545989,0.5816457390757835,,43.2,94.0,49.2,99.6,96.0,89.4
main037,maintenance_engineer,employee,2019-04-24,78.0,high,external_foreign,Investigate within the shift; verify with the account owner,1,4,0.0,1,8046744,0.6124906790998448,GT1_password_spray,92.1,75.0,98.7,48.1,97.6,52.1
