scale,scenario,p_reach_ot,p_reach_critical,mean_assets
0.6,S0_baseline,0.44266666666666665,0.42933333333333334,15.183333333333334
0.6,S1_segmentation,0.18,0.13266666666666665,5.466
0.6,S2_strong_auth,0.16,0.15733333333333333,5.43
0.6,S3_monitoring,0.42733333333333334,0.36666666666666664,8.290666666666667
0.6,S4_combined,0.05,0.024666666666666667,0.958
1.0,S0_baseline,0.528,0.5273333333333333,29.283333333333335
1.0,S1_segmentation,0.3486666666666667,0.31866666666666665,18.682
1.0,S2_strong_auth,0.19866666666666666,0.19733333333333333,10.202
1.0,S3_monitoring,0.518,0.506,17.918
1.0,S4_combined,0.098,0.074,2.764
1.4,S0_baseline,0.5966666666666667,0.5946666666666667,42.864666666666665
1.4,S1_segmentation,0.48333333333333334,0.4633333333333333,34.98266666666667
1.4,S2_strong_auth,0.20733333333333334,0.20666666666666667,15.127333333333333
1.4,S3_monitoring,0.578,0.5766666666666667,30.248
1.4,S4_combined,0.13533333333333333,0.12066666666666667,6.552
