feature,importance,sd
proto,0.060763471029605054,0.0007453379430010954
service,0.0008299379593950107,0.00013092753510020764
is_internal_dst,0.0007133260652777418,0.0001860480214735802
dst_port,0.0005941880091125673,0.00018153984749352415
src_ip_bytes,0.0005158647806297045,6.85363707718707e-05
src_port,0.0003570033284664986,6.875012205175448e-05
is_wellknown_dst_port,0.00029691372406964733,8.648692593403983e-05
bytes_per_pkt,0.00023736670478294308,9.706326419380837e-05
log_duration,0.00017843416683016589,3.4346923915319426e-05
dst_ip_bytes,0.00013867660205674204,0.00010313063766808524
duration,9.883434940086144e-05,3.423288588805698e-05
missed_bytes,7.9069983518254e-05,0.0
total_bytes,5.9246076217406296e-05,3.4205862095778874e-05
bytes_ratio,3.9534991759127e-05,3.9534991759127e-05
total_pkts,3.909314321703938e-05,6.8460382684627e-05
src_bytes,1.97674958795635e-05,3.4238307201812416e-05
src_pkts,-3.130740583445757e-09,5.591534915750554e-05
dst_bytes,-1.9874076098436166e-05,6.56577880407318e-05
conn_state,-5.9716201924020496e-05,0.0001171072071568694
log_total_bytes,-7.908250648058779e-05,0.0
dst_pkts,-9.92418126206096e-05,0.00011718292825300595
