,precision,recall,f1-score,support
backdoor,0.9998218104062723,0.9996436843042936,0.9997327394209354,5613.0
ddos,0.9882609424786182,0.9824941647215738,0.9853691162946242,5998.0
dos,0.9944898684678279,0.9819234819234819,0.9881667255386789,5698.0
injection,0.9817166074149314,0.968275171147103,0.9749495628782784,5989.0
mitm,0.6616541353383458,0.8461538461538461,0.7426160337552743,312.0
normal,0.9950138504155125,0.9968284173802727,0.9959203073632511,12612.0
password,0.9957763135664808,0.9890921295519383,0.9924229668294325,5959.0
ransomware,0.9990956364458512,0.9995476136620675,0.9993215739484396,4421.0
scanning,0.9911784287616512,0.9925,0.9918387741505663,6000.0
xss,0.9630187056546979,0.9863466196872935,0.9745430809399478,4541.0
accuracy,0.9884150289624276,0.9884150289624276,0.9884150289624276,0.9884150289624276
macro avg,0.9570026298950189,0.9742805128531871,0.9644880881119431,57143.0
weighted avg,0.9889612924595932,0.9884150289624276,0.9886043048547254,57143.0
