alert_id,rule,severity,timestamp,username,asset_id,src_ip,detail,evidence_event_ids,matches_injected_pattern
R4-0016,R4,medium,2019-04-01 21:09:58+00:00,ot053,AST-0112,10.36.45.162,"privileged action on file_share at 21:00, outside this account's usual 03:00-20:00 pattern",ACC000796,
R4-0017,R4,medium,2019-04-01 21:29:17+00:00,ot054,AST-0069,10.54.133.148,"privileged action on plc_engineering_ws at 21:00, outside this account's usual 02:00-18:00 pattern",ACC000805,
R4-0018,R4,medium,2019-04-01 23:00:55+00:00,cont023,AST-0008,10.26.192.130,"privileged action on erp at 23:00, outside this account's usual 04:00-22:00 pattern",ACC000825,
R4-0019,R4,medium,2019-04-02 00:18:23+00:00,it059,AST-0162,10.46.74.160,"privileged action on fleet_mgmt at 00:00, outside this account's usual 03:00-18:00 pattern",ACC000833,
R4-0020,R4,medium,2019-04-02 01:43:46+00:00,ot052,AST-0192,10.24.91.83,"privileged action on telemetry_broker at 01:00, outside this account's usual 03:00-20:00 pattern",ACC000841,
R4-0021,R4,medium,2019-04-02 22:42:34+00:00,ot052,AST-0183,10.24.91.156,"privileged action on file_share at 22:00, outside this account's usual 03:00-20:00 pattern",ACC001738,
R4-0022,R4,medium,2019-04-02 22:42:57+00:00,ot052,AST-0189,10.24.91.83,"privileged action on telemetry_broker at 22:00, outside this account's usual 03:00-20:00 pattern",ACC001739,
R4-0023,R4,medium,2019-04-03 22:46:39+00:00,cont001,AST-0065,10.51.56.159,"privileged action on erp at 22:00, outside this account's usual 01:00-21:00 pattern",ACC002586,
R4-0024,R4,medium,2019-04-03 23:37:10+00:00,cont015,AST-0042,10.21.208.153,"privileged action on maintenance_portal at 23:00, outside this account's usual 02:00-22:00 pattern",ACC002600,
R4-0025,R4,medium,2019-04-04 02:30:19+00:00,ot056,AST-0138,10.51.35.54,"privileged action on cctv_nvr at 02:00, outside this account's usual 03:00-23:00 pattern",ACC002647,
R4-0026,R4,medium,2019-04-04 21:54:07+00:00,ot054,AST-0090,10.54.133.148,"privileged action on erp at 21:00, outside this account's usual 02:00-18:00 pattern",ACC003444,
R4-0027,R4,medium,2019-04-04 21:55:53+00:00,ot054,AST-0069,10.54.133.148,"privileged action on erp at 21:00, outside this account's usual 02:00-18:00 pattern",ACC003445,
R4-0028,R4,medium,2019-04-04 22:04:29+00:00,ot054,AST-0075,10.54.133.148,"privileged action on cctv_nvr at 22:00, outside this account's usual 02:00-18:00 pattern",ACC003449,
R4-0029,R4,medium,2019-04-05 02:32:22+00:00,main029,AST-0106,10.42.15.166,"privileged action on telemetry_broker at 02:00, outside this account's usual 02:00-22:00 pattern",ACC003546,
R4-0030,R4,medium,2019-04-05 18:09:47+00:00,it060,AST-0174,10.42.223.225,"privileged action on file_share at 18:00, outside this account's usual 04:00-17:00 pattern",ACC004250,
R4-0031,R4,medium,2019-04-05 22:18:45+00:00,it059,AST-0157,10.46.74.160,"privileged action on scada_hmi at 22:00, outside this account's usual 03:00-18:00 pattern",ACC004343,
R4-0032,R4,medium,2019-04-05 23:32:50+00:00,supe106,AST-0077,10.20.229.121,"privileged action on file_share at 23:00, outside this account's usual 01:00-20:00 pattern",ACC004357,
R4-0033,R4,medium,2019-04-06 03:15:20+00:00,vend075,AST-0017,10.56.89.214,"privileged action on historian at 03:00, outside this account's usual 03:00-20:00 pattern",ACC004388,
R4-0034,R4,medium,2019-04-06 03:20:42+00:00,vend073,AST-0059,10.40.31.156,"privileged action on scada_hmi at 03:00, outside this account's usual 04:00-22:00 pattern",ACC004391,
R4-0035,R4,medium,2019-04-06 03:27:06+00:00,vend073,AST-0054,10.40.31.26,"privileged action on telemetry_broker at 03:00, outside this account's usual 04:00-22:00 pattern",ACC004393,
R4-0036,R4,medium,2019-04-06 03:29:09+00:00,vend073,AST-0057,10.40.31.183,"privileged action on scada_hmi at 03:00, outside this account's usual 04:00-22:00 pattern",ACC004394,
R4-0037,R4,medium,2019-04-06 03:47:19+00:00,vend075,AST-0006,10.56.89.214,"privileged action on telemetry_broker at 03:00, outside this account's usual 03:00-20:00 pattern",ACC004396,
R4-0038,R4,medium,2019-04-07 19:36:42+00:00,it061,AST-0160,10.54.110.211,"privileged action on cctv_nvr at 19:00, outside this account's usual 04:00-17:00 pattern",ACC005144,
R4-0039,R4,medium,2019-04-08 20:29:11+00:00,main033,AST-0111,10.54.46.221,"privileged action on cctv_nvr at 20:00, outside this account's usual 04:00-19:00 pattern",ACC006028,
R4-0040,R4,medium,2019-04-08 22:36:58+00:00,ot051,AST-0057,10.33.125.11,"privileged action on historian at 22:00, outside this account's usual 02:00-21:00 pattern",ACC006065,
R4-0041,R4,medium,2019-04-09 01:38:46+00:00,ot054,AST-0074,10.54.133.148,"privileged action on cctv_nvr at 01:00, outside this account's usual 02:00-18:00 pattern",ACC006124,
R4-0042,R4,medium,2019-04-09 01:51:20+00:00,ot054,AST-0080,10.54.133.148,"privileged action on plc_engineering_ws at 01:00, outside this account's usual 02:00-18:00 pattern",ACC006131,
R4-0043,R4,medium,2019-04-10 00:19:11+00:00,ot052,AST-0183,10.24.91.83,"privileged action on file_share at 00:00, outside this account's usual 03:00-20:00 pattern",ACC006980,
R4-0044,R4,medium,2019-04-10 00:27:21+00:00,ot052,AST-0189,10.24.91.156,"privileged action on plc_engineering_ws at 00:00, outside this account's usual 03:00-20:00 pattern",ACC006985,
R4-0045,R4,medium,2019-04-10 22:12:08+00:00,vend072,AST-0120,10.26.30.26,"privileged action on historian at 22:00, outside this account's usual 03:00-18:00 pattern",ACC007929,
R4-0046,R4,medium,2019-04-10 22:20:40+00:00,cont001,AST-0076,10.51.56.159,"privileged action on erp at 22:00, outside this account's usual 01:00-21:00 pattern",ACC007937,
R4-0047,R4,medium,2019-04-11 01:44:46+00:00,ot055,AST-0098,10.29.65.57,"privileged action on cctv_nvr at 01:00, outside this account's usual 02:00-19:00 pattern",ACC007989,
R4-0048,R4,medium,2019-04-11 18:01:45+00:00,it068,AST-0179,10.34.120.15,"privileged action on maintenance_portal at 18:00, outside this account's usual 04:00-17:00 pattern",ACC008715,
R4-0049,R4,medium,2019-04-11 18:15:22+00:00,it068,AST-0173,10.34.120.15,"privileged action on plc_engineering_ws at 18:00, outside this account's usual 04:00-17:00 pattern",ACC008726,
R4-0050,R4,medium,2019-04-11 18:16:09+00:00,it068,AST-0171,10.34.120.15,"privileged action on maintenance_portal at 18:00, outside this account's usual 04:00-17:00 pattern",ACC008729,
R4-0051,R4,medium,2019-04-11 19:37:05+00:00,it061,AST-0162,10.54.110.211,"privileged action on cctv_nvr at 19:00, outside this account's usual 04:00-17:00 pattern",ACC008760,
R4-0052,R4,medium,2019-04-11 20:23:02+00:00,ot054,AST-0080,10.54.133.148,"privileged action on plc_engineering_ws at 20:00, outside this account's usual 02:00-18:00 pattern",ACC008769,
R4-0053,R4,medium,2019-04-11 21:02:38+00:00,supe106,AST-0074,10.20.229.121,"privileged action on maintenance_portal at 21:00, outside this account's usual 01:00-20:00 pattern",ACC008786,
R4-0054,R4,medium,2019-04-11 22:20:09+00:00,cont001,AST-0065,10.51.56.77,"privileged action on scada_hmi at 22:00, outside this account's usual 01:00-21:00 pattern",ACC008806,
R4-0055,R4,medium,2019-04-15 02:02:07+00:00,ot053,AST-0108,10.36.45.162,"privileged action on plc_engineering_ws at 02:00, outside this account's usual 03:00-20:00 pattern",ACC010446,
R4-0056,R4,medium,2019-04-15 02:05:59+00:00,ot053,AST-0112,10.36.45.162,"privileged action on file_share at 02:00, outside this account's usual 03:00-20:00 pattern",ACC010451,
R4-0057,R4,medium,2019-04-15 22:48:41+00:00,ot051,AST-0062,10.33.125.11,"privileged action on maintenance_portal at 22:00, outside this account's usual 02:00-21:00 pattern",ACC011269,
R4-0058,R4,medium,2019-04-16 21:03:26+00:00,ot052,AST-0183,10.24.91.27,"privileged action on file_share at 21:00, outside this account's usual 03:00-20:00 pattern",ACC012138,
R4-0059,R4,medium,2019-04-16 22:47:05+00:00,vend070,AST-0032,10.43.130.59,"privileged action on file_share at 22:00, outside this account's usual 02:00-20:00 pattern",ACC012177,
R4-0060,R4,medium,2019-04-17 00:15:18+00:00,ot056,AST-0138,10.51.35.54,"privileged action on scada_hmi at 00:00, outside this account's usual 03:00-23:00 pattern",ACC012208,
R4-0061,R4,medium,2019-04-18 00:01:16+00:00,main029,AST-0104,10.42.15.166,"privileged action on maintenance_portal at 00:00, outside this account's usual 02:00-22:00 pattern",ACC013192,
R4-0062,R4,medium,2019-04-18 00:10:47+00:00,main029,AST-0106,10.42.15.166,"privileged action on maintenance_portal at 00:00, outside this account's usual 02:00-22:00 pattern",ACC013198,
R4-0063,R4,medium,2019-04-18 00:20:34+00:00,main029,AST-0104,10.42.15.166,"privileged action on maintenance_portal at 00:00, outside this account's usual 02:00-22:00 pattern",ACC013205,
R4-0064,R4,medium,2019-04-18 02:39:37+00:00,main029,AST-0095,10.42.15.55,"privileged action on telemetry_broker at 02:00, outside this account's usual 02:00-22:00 pattern",ACC013251,
R4-0065,R4,medium,2019-04-18 05:42:30+00:00,it066,AST-0190,10.33.114.111,"privileged action on plc_engineering_ws at 05:00, outside this account's usual 06:00-17:00 pattern",ACC013300,
R4-0066,R4,medium,2019-04-18 05:43:23+00:00,it066,AST-0193,10.33.114.111,"privileged action on cctv_nvr at 05:00, outside this account's usual 06:00-17:00 pattern",ACC013301,
R4-0067,R4,medium,2019-04-18 05:43:53+00:00,it066,AST-0188,10.33.114.229,"privileged action on plc_engineering_ws at 05:00, outside this account's usual 06:00-17:00 pattern",ACC013302,
R4-0068,R4,medium,2019-04-18 05:44:19+00:00,it066,AST-0188,10.33.114.229,"privileged action on cctv_nvr at 05:00, outside this account's usual 06:00-17:00 pattern",ACC013303,
R4-0069,R4,medium,2019-04-18 18:39:40+00:00,it066,AST-0190,10.33.114.229,"privileged action on plc_engineering_ws at 18:00, outside this account's usual 06:00-17:00 pattern",ACC013957,
R4-0070,R4,medium,2019-04-18 22:47:33+00:00,ot053,AST-0120,10.36.45.162,"privileged action on file_share at 22:00, outside this account's usual 03:00-20:00 pattern",ACC014058,
R4-0071,R4,medium,2019-04-18 22:59:41+00:00,ot053,AST-0111,10.36.45.162,"privileged action on plc_engineering_ws at 22:00, outside this account's usual 03:00-20:00 pattern",ACC014062,
R4-0072,R4,medium,2019-04-18 23:14:22+00:00,main029,AST-0095,10.42.15.166,"privileged action on maintenance_portal at 23:00, outside this account's usual 02:00-22:00 pattern",ACC014073,
R4-0073,R4,medium,2019-04-18 23:14:41+00:00,main029,AST-0106,10.42.15.55,"privileged action on maintenance_portal at 23:00, outside this account's usual 02:00-22:00 pattern",ACC014074,
R4-0074,R4,medium,2019-04-18 23:22:29+00:00,main029,AST-0109,10.42.15.166,"privileged action on telemetry_broker at 23:00, outside this account's usual 02:00-22:00 pattern",ACC014078,
R4-0075,R4,medium,2019-04-19 01:51:53+00:00,supe112,AST-0061,10.20.186.144,"privileged action on maintenance_portal at 01:00, outside this account's usual 04:00-21:00 pattern",ACC014123,
R4-0076,R4,medium,2019-04-19 03:23:17+00:00,cont023,AST-0015,10.26.192.118,"privileged action on erp at 03:00, outside this account's usual 04:00-22:00 pattern",ACC014174,
R4-0077,R4,medium,2019-04-19 04:52:09+00:00,it061,AST-0158,10.54.110.211,"privileged action on cctv_nvr at 04:00, outside this account's usual 04:00-17:00 pattern",ACC014214,
R4-0078,R4,medium,2019-04-19 20:02:30+00:00,main030,AST-0152,10.55.90.7,"privileged action on fleet_mgmt at 20:00, outside this account's usual 01:00-18:00 pattern",ACC014912,
R4-0079,R4,medium,2019-04-19 20:12:50+00:00,main030,AST-0137,10.55.90.187,"privileged action on fleet_mgmt at 20:00, outside this account's usual 01:00-18:00 pattern",ACC014915,
R4-0080,R4,medium,2019-04-20 22:39:14+00:00,vend072,AST-0104,10.26.30.26,"privileged action on fleet_mgmt at 22:00, outside this account's usual 03:00-18:00 pattern",ACC015370,
R4-0081,R4,medium,2019-04-21 18:18:13+00:00,it066,AST-0190,10.33.114.89,"privileged action on cctv_nvr at 18:00, outside this account's usual 06:00-17:00 pattern",ACC015660,
R4-0082,R4,medium,2019-04-21 22:05:30+00:00,main037,AST-0104,10.37.113.228,"privileged action on historian at 22:00, outside this account's usual 01:00-19:00 pattern",ACC015690,
R4-0083,R4,medium,2019-04-21 22:06:47+00:00,supe112,AST-0037,10.20.186.144,"privileged action on cctv_nvr at 22:00, outside this account's usual 04:00-21:00 pattern",ACC015691,
R4-0084,R4,medium,2019-04-21 22:15:11+00:00,supe112,AST-0053,10.20.186.198,"privileged action on maintenance_portal at 22:00, outside this account's usual 04:00-21:00 pattern",ACC015692,
R4-0085,R4,medium,2019-04-21 22:15:58+00:00,supe112,AST-0037,10.20.186.144,"privileged action on maintenance_portal at 22:00, outside this account's usual 04:00-21:00 pattern",ACC015694,
R4-0086,R4,medium,2019-04-22 01:37:56+00:00,vend070,AST-0032,10.43.130.59,"privileged action on erp at 01:00, outside this account's usual 02:00-20:00 pattern",ACC015749,
R4-0087,R4,medium,2019-04-23 02:56:39+00:00,vend076,AST-0082,10.52.241.81,"privileged action on file_share at 02:00, outside this account's usual 04:00-17:00 pattern",ACC016618,
R4-0088,R4,medium,2019-04-23 03:54:43+00:00,ot057,AST-0005,10.35.244.12,"privileged action on fleet_mgmt at 03:00, outside this account's usual 03:00-20:00 pattern",ACC016646,
R4-0089,R4,medium,2019-04-23 21:46:21+00:00,supe106,AST-0077,10.20.229.121,"privileged action on file_share at 21:00, outside this account's usual 01:00-20:00 pattern",ACC017457,
R4-0090,R4,medium,2019-04-23 22:14:24+00:00,cont001,AST-0081,10.51.56.159,"privileged action on scada_hmi at 22:00, outside this account's usual 01:00-21:00 pattern",ACC017470,
R4-0091,R4,medium,2019-04-23 22:18:57+00:00,cont001,AST-0065,10.51.56.141,"privileged action on erp at 22:00, outside this account's usual 01:00-21:00 pattern",ACC017474,
R4-0092,R4,medium,2019-04-23 23:16:46+00:00,it060,AST-0168,10.42.223.225,"privileged action on file_share at 23:00, outside this account's usual 04:00-17:00 pattern",ACC017494,
R4-0093,R4,medium,2019-04-23 23:45:38+00:00,it061,AST-0158,10.54.110.211,"privileged action on maintenance_portal at 23:00, outside this account's usual 04:00-17:00 pattern",ACC017499,
R1-0001,R1,medium,2019-04-24 02:00:00+00:00,cont015,,196.44.128.77,3 failed logins within one hour,ACC017571|ACC017572|ACC017573,GT1_password_spray
R1-0005,R1,medium,2019-04-24 02:00:00+00:00,cont081,,196.44.128.77,3 failed logins within one hour,ACC017623|ACC017625|ACC017626,GT1_password_spray
R1-0002,R1,medium,2019-04-24 02:00:00+00:00,cont021,,196.44.128.77,3 failed logins within one hour,ACC017616|ACC017617|ACC017618,GT1_password_spray
R2-0012,R2,high,2019-04-24 02:00:00+00:00,38 accounts,,196.44.128.77,source 196.44.128.77 failed against 38 distinct accounts in one hour (74 attempts),ACC017556|ACC017557|ACC017558|ACC017559|ACC017560|ACC017561|ACC017562|ACC017563|ACC017564|ACC017565|ACC017566|ACC017568|ACC017569|ACC017570|ACC017571,GT1_password_spray
R1-0011,R1,medium,2019-04-24 02:00:00+00:00,vend076,,196.44.128.77,3 failed logins within one hour,ACC017560|ACC017561|ACC017562,GT1_password_spray
