username,role,employment_type,active_days,mean_events,sd_events,mean_failures,mean_ooh,max_iso_score,flagged_days
cont006,control_room_operator,employee,26,11.26923076923077,5.93671755978128,0.23076923076923078,5.423076923076923,0.7631064847575848,1
vend069,vendor_technician,vendor,23,7.260869565217392,3.7684985110343328,0.08695652173913043,2.4782608695652173,0.7558089752105122,4
supe112,supervisor,employee,24,8.0,4.907846424017272,0.2916666666666667,3.3333333333333335,0.7481662227724241,1
main042,maintenance_engineer,employee,28,7.571428571428571,4.756504874835999,0.17857142857142858,2.4642857142857144,0.743549880112492,1
cont015,control_room_operator,employee,27,11.444444444444445,6.259351977600171,0.48148148148148145,5.0,0.7426909617149431,4
cont080,contractor_surveyor,contractor,21,7.523809523809524,3.7365632286774915,0.19047619047619047,1.619047619047619,0.7376912452274376,1
cont021,control_room_operator,employee,26,9.0,6.170899448216605,0.19230769230769232,3.6923076923076925,0.7352098349169295,1
main049,maintenance_engineer,employee,24,6.666666666666667,3.045547950507524,0.2916666666666667,2.0416666666666665,0.7304600399513802,1
vend071,vendor_technician,vendor,25,6.52,4.1944407652669655,0.16,1.88,0.7300998603028745,1
cont081,contractor_surveyor,contractor,9,7.0,2.8284271247461903,0.4444444444444444,2.111111111111111,0.7299352084218983,2
cont026,control_room_operator,employee,28,10.25,5.7518113089124645,0.17857142857142858,4.107142857142857,0.7252630670769638,1
supe114,supervisor,employee,25,6.88,4.684371178006002,0.28,2.08,0.7181822754171915,1
vend076,vendor_technician,vendor,24,7.125,4.580796399336464,0.20833333333333334,0.9583333333333334,0.7171874815251992,1
vend072,vendor_technician,vendor,21,6.619047619047619,3.007926037591192,0.19047619047619047,1.4285714285714286,0.7171874815251992,1
main038,maintenance_engineer,employee,22,8.0,5.380741673076393,0.2727272727272727,2.0454545454545454,0.7113050005955048,2
ot054,ot_network_admin,employee,27,9.333333333333334,6.415126355251792,0.3333333333333333,2.5185185185185186,0.7100355484453637,2
main047,maintenance_engineer,employee,24,8.291666666666666,5.433224414307943,0.08333333333333333,2.25,0.7084949618032412,1
main029,maintenance_engineer,employee,23,7.0,5.477225575051661,0.13043478260869565,1.6521739130434783,0.7045064860076177,2
cont008,control_room_operator,employee,28,10.357142857142858,5.82595905768303,0.17857142857142858,5.5,0.703664778562268,1
cont022,control_room_operator,employee,26,10.23076923076923,6.525688881996704,0.2692307692307692,5.076923076923077,0.7014225828488637,2
main032,maintenance_engineer,employee,25,8.2,4.112987559751022,0.24,1.84,0.6954546093174148,1
mine099,mine_planner,employee,26,8.153846153846153,4.9613893835683385,0.38461538461538464,1.0769230769230769,0.6935372588793638,1
cont087,contractor_surveyor,contractor,24,7.458333333333333,4.52989266277159,0.3333333333333333,0.9166666666666666,0.6927359125422521,1
cont018,control_room_operator,employee,28,8.928571428571429,4.814550257282001,0.14285714285714285,3.9642857142857144,0.6922740656960442,1
cont017,control_room_operator,employee,25,8.6,5.461989869391313,0.2,5.28,0.6883635499044207,1
cont078,contractor_surveyor,contractor,21,5.857142857142857,4.2811880861008,0.3333333333333333,0.8571428571428571,0.6856085230278387,1
supe111,supervisor,employee,23,8.91304347826087,7.621220634030298,0.0,2.9565217391304346,0.6771702327438937,2
ot055,ot_network_admin,employee,27,8.11111111111111,6.907817941864762,0.18518518518518517,2.6296296296296298,0.6743025050976743,1
main043,maintenance_engineer,employee,24,7.791666666666667,6.086186545503405,0.08333333333333333,2.375,0.6739024793215335,1
vend073,vendor_technician,vendor,27,7.037037037037037,5.17747697303115,0.25925925925925924,1.1481481481481481,0.6663018296767135,1
ot058,ot_network_admin,employee,26,9.192307692307692,6.026735307074508,0.15384615384615385,2.423076923076923,0.6656130103109733,1
cont086,contractor_surveyor,contractor,28,7.714285714285714,3.419520681780079,0.10714285714285714,1.0714285714285714,0.6607085223704768,1
cont005,control_room_operator,employee,23,10.73913043478261,6.810535897378867,0.30434782608695654,5.391304347826087,0.6596367634728096,1
cont025,control_room_operator,employee,26,9.923076923076923,5.4693551862944645,0.07692307692307693,4.884615384615385,0.6582311170159446,1
supe106,supervisor,employee,24,6.791666666666667,4.393465173628221,0.125,1.8333333333333333,0.657467434652262,1
vend074,vendor_technician,vendor,26,7.384615384615385,5.550329165567917,0.11538461538461539,2.1538461538461537,0.6574584590582097,1
it060,it_service_desk,employee,24,7.666666666666667,4.842445184234803,0.125,1.0833333333333333,0.6570605010276818,1
vend075,vendor_technician,vendor,22,8.363636363636363,5.876064884609302,0.4090909090909091,1.6363636363636365,0.6508773925114103,1
cont019,control_room_operator,employee,25,11.32,5.359726361174296,0.12,4.64,0.6501928137066897,1
cont014,control_room_operator,employee,27,9.037037037037036,6.2909060218301285,0.2222222222222222,3.962962962962963,0.6446006036118166,1
vend070,vendor_technician,vendor,25,7.56,4.856953777832357,0.16,1.72,0.6430341813727539,1
ot051,ot_network_admin,employee,27,9.925925925925926,5.434405536281179,0.2962962962962963,3.3703703703703702,0.6426377590730014,2
it068,it_service_desk,employee,24,7.541666666666667,5.926940457639658,0.08333333333333333,1.125,0.6334998080343944,1
cont012,control_room_operator,employee,26,8.384615384615385,5.27694550342846,0.07692307692307693,3.8461538461538463,0.6313085523746655,0
cont083,contractor_surveyor,contractor,25,7.56,4.761652374263931,0.08,1.6,0.6287188444775265,0
main028,maintenance_engineer,employee,22,7.818181818181818,4.054819162620997,0.18181818181818182,2.6818181818181817,0.6278835741810672,0
vend077,vendor_technician,vendor,23,7.0,3.813850356982369,0.13043478260869565,1.826086956521739,0.6203856928417033,0
ot052,ot_network_admin,employee,26,9.5,6.067948582511226,0.19230769230769232,3.269230769230769,0.6137243330359529,0
main037,maintenance_engineer,employee,23,7.478260869565218,5.221194266182536,0.13043478260869565,2.0869565217391304,0.6124906790998448,0
cont010,control_room_operator,employee,26,10.346153846153847,6.138027746384388,0.0,6.6923076923076925,0.6123942434633454,0
mine096,mine_planner,employee,25,8.12,6.23377895020348,0.16,0.72,0.6090739213561324,0
main048,maintenance_engineer,employee,23,7.782608695652174,5.720430067582574,0.30434782608695654,2.260869565217391,0.608951401241685,0
cont011,control_room_operator,employee,26,10.038461538461538,6.095774072130753,0.15384615384615385,3.8846153846153846,0.6089351794096978,0
main041,maintenance_engineer,employee,24,7.458333333333333,5.540202214694888,0.16666666666666666,2.125,0.6074217622901475,0
main039,maintenance_engineer,employee,26,7.153846153846154,4.721798874939996,0.11538461538461539,1.7692307692307692,0.6072883471345012,0
ot056,ot_network_admin,employee,27,8.333333333333334,5.196152422706632,0.18518518518518517,2.2962962962962963,0.6058720455339973,0
main050,maintenance_engineer,employee,23,8.869565217391305,5.715245543329994,0.21739130434782608,1.826086956521739,0.6041861866259373,0
cont024,control_room_operator,employee,24,7.916666666666667,5.977615248405589,0.25,4.416666666666667,0.6036743770876807,0
supe107,supervisor,employee,24,8.708333333333334,5.352603321640843,0.0,2.0833333333333335,0.6022513399315593,0
it063,it_service_desk,employee,24,9.208333333333334,5.098841869071554,0.20833333333333334,1.8333333333333333,0.5983713809398817,0
cont023,control_room_operator,employee,27,8.185185185185185,4.812140392454813,0.037037037037037035,4.296296296296297,0.5973933884111805,0
mine095,mine_planner,employee,25,6.48,3.6069377593742864,0.24,1.0,0.5958863016497742,0
main030,maintenance_engineer,employee,24,5.791666666666667,3.6113247800034083,0.16666666666666666,1.4166666666666667,0.5883181012224326,0
cont007,control_room_operator,employee,28,10.178571428571429,5.63753013577276,0.10714285714285714,4.535714285714286,0.5875008535848079,0
supe109,supervisor,employee,24,7.166666666666667,5.197546801484637,0.20833333333333334,2.5,0.5872809410767883,0
supe113,supervisor,employee,25,8.16,5.828664798505172,0.16,2.8,0.5868288739646068,0
cont085,contractor_surveyor,contractor,19,7.473684210526316,4.718385093942295,0.15789473684210525,0.42105263157894735,0.5864525943860394,0
cont089,contractor_surveyor,contractor,24,6.708333333333333,5.103103630798287,0.16666666666666666,1.125,0.5864525943860394,0
it061,it_service_desk,employee,23,6.913043478260869,3.26013166881703,0.13043478260869565,1.173913043478261,0.5863108517592486,0
main036,maintenance_engineer,employee,23,7.434782608695652,5.703476507251932,0.17391304347826086,1.5217391304347827,0.5835089165658068,0
it059,it_service_desk,employee,24,7.666666666666667,3.690960363617727,0.125,1.25,0.5816684699657082,0
